Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
101,2021,K.J. Wright (FA),25,26,0,0,0,0,0,0,16,62.3,3.9,0.1%
23,2020,K.J. Wright (FA),60,26,2,10,1,1,2,0,16,177.3,11.1,0.1%
20,2019,K.J. Wright (FA),67,65,0,11,3,0,0,0,16,193.6,12.1,0.1%
137,2018,K.J. Wright (FA),15,8,0,3,0,0,0,0,5,38.1,7.6,0.1%
29,2017,K.J. Wright (FA),71,37,0,6,1,0,1,0,15,165.2,11.0,0.1%
11,2016,K.J. Wright (FA),72,54,4,5,0,1,1,0,16,210.2,13.1,0.1%
21,2015,K.J. Wright (FA),71,45,1,3,0,4,2,0,16,183.3,11.5,0.1%
22,2014,K.J. Wright (FA),73,33,2,4,0,3,1,0,16,177.4,11.1,0.1%
71,2013,K.J. Wright (FA),46,34,1.5,4,0,0,1,0,13,120.9,9.3,0.1%
45,2012,K.J. Wright (FA),66,30,1,5,1,1,0,0,15,162.2,10.8,0.1%
64,2011,K.J. Wright (FA),46,15,2,3,0,1,1,0,16,126.0,7.9,0.1%
