Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
184,2012,Mike Peterson (FA),7,4,0,0,0,0,0,0,16,16.1,1.0,0.0%
144,2011,Mike Peterson (FA),16,6,0,3,1,0,0,0,15,43.1,2.9,0.0%
68,2010,Mike Peterson (FA),38,19,1,5,2,1,2,0,16,120.1,7.5,0.0%
26,2009,Mike Peterson (FA),82,27,1,7,1,2,0,0,16,188.6,11.8,0.0%
61,2008,Mike Peterson (FA),70,14,1,0,0,0,0,0,15,122.3,8.2,0.0%
34,2007,Mike Peterson (FA),60,10,2,3,1,0,1,0,10,119.2,11.9,0.0%
139,2006,Mike Peterson (FA),22,10,0,1,1,0,0,0,5,47.1,9.4,0.0%
4,2005,Mike Peterson (FA),95,37,6,6,3,2,1,1,16,236.6,14.8,0.0%
11,2004,Mike Peterson (FA),93,33,5,1,0,1,1,0,16,216.6,13.5,0.0%
35,2003,Mike Peterson (FA),73,29,1,9,3,2,2,0,16,192.6,12.0,0.0%
14,2002,Mike Peterson (FA),103,33,0,9,3,0,0,0,16,223.1,13.9,0.0%
