Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
480,2021,Morgan Cox (TEN),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
366,2020,Morgan Cox (TEN),0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
391,2019,Morgan Cox (TEN),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
345,2018,Morgan Cox (TEN),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
360,2017,Morgan Cox (TEN),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
341,2016,Morgan Cox (TEN),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
328,2015,Morgan Cox (TEN),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
335,2014,Morgan Cox (TEN),0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
211,2013,Morgan Cox (TEN),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
325,2012,Morgan Cox (TEN),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
292,2011,Morgan Cox (TEN),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
319,2010,Morgan Cox (TEN),0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
