Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
422,2021,Nick Bellore (SEA),0,0,0,0,0,0,0,0,10,0.0,0.0,0.1%
203,2020,Nick Bellore (SEA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.1%
214,2019,Nick Bellore (SEA),0,0,0,0,0,0,1,0,14,4.0,0.3,0.1%
252,2018,Nick Bellore (SEA),0,0,0,0,0,0,0,0,14,0.0,0.0,0.1%
212,2017,Nick Bellore (SEA),5,1,0,0,0,0,0,0,13,8.3,0.6,0.1%
56,2016,Nick Bellore (SEA),55,22,1,5,1,0,1,0,14,129.8,9.3,0.1%
237,2015,Nick Bellore (SEA),2,0,0,0,0,0,0,0,16,3.0,0.2,0.1%
298,2014,Nick Bellore (SEA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.1%
312,2013,Nick Bellore (SEA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.1%
289,2012,Nick Bellore (SEA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.1%
226,2011,Nick Bellore (SEA),1,1,0,0,0,0,0,0,16,2.3,0.1,0.1%
