Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
331,2013,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
328,2012,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
300,2011,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
317,2010,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
291,2009,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
284,2008,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
277,2007,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
292,2006,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
290,2005,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
287,2004,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
208,2003,Patrick Mannelly (FA),0,0,0,0,0,0,1,0,3,4.0,1.3,0.0%
258,2002,Patrick Mannelly (FA),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
