Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
302,2019,Ramon Humber (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
198,2018,Ramon Humber (FA),5,0,0,0,0,0,0,0,15,7.5,0.5,0.0%
50,2017,Ramon Humber (FA),56,27,1,1,0,1,0,0,13,134.1,10.3,0.0%
217,2016,Ramon Humber (FA),5,0,0,0,0,0,0,0,16,7.5,0.5,0.0%
137,2015,Ramon Humber (FA),23,18,1,1,0,0,0,0,14,58.6,4.2,0.0%
116,2014,Ramon Humber (FA),31,12,1,1,0,0,0,0,15,66.2,4.4,0.0%
153,2013,Ramon Humber (FA),12,10,0.5,1,0,0,0,0,16,34.2,2.1,0.0%
262,2012,Ramon Humber (FA),0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
162,2011,Ramon Humber (FA),11,6,1,1,0,0,0,0,13,31.6,2.4,0.0%
270,2010,Ramon Humber (FA),0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
174,2009,Ramon Humber (FA),14,4,0,0,0,0,0,0,16,26.6,1.7,0.0%
