Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
289,2016,Rob Ninkovich (FA),17,15,4,2,0,1,0,0,12,0.0,0.0,0.0%
297,2015,Rob Ninkovich (FA),33,19,6.5,7,0,1,1,0,16,0.0,0.0,0.0%
285,2014,Rob Ninkovich (FA),44,17,8,2,1,0,1,1,16,0.0,0.0,0.0%
259,2013,Rob Ninkovich (FA),42,49,8,1,0,2,2,0,16,0.0,0.0,0.0%
257,2012,Rob Ninkovich (FA),32,26,8,0,0,5,4,0,16,0.0,0.0,0.0%
276,2011,Rob Ninkovich (FA),42,31,6.5,4,2,1,3,1,16,0.0,0.0,0.0%
289,2010,Rob Ninkovich (FA),38,15,4,3,2,0,3,0,16,0.0,0.0,0.0%
283,2009,Rob Ninkovich (FA),4,7,1,2,0,0,0,0,15,0.0,0.0,0.0%
274,2008,Rob Ninkovich (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
263,2007,Rob Ninkovich (FA),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
285,2006,Rob Ninkovich (FA),2,0,0,1,0,0,0,0,3,0.0,0.0,0.0%
