Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
418,2021,Tahir Whitehead (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
109,2020,Tahir Whitehead (FA),23,22,0,1,1,0,1,0,14,61.7,4.4,0.0%
39,2019,Tahir Whitehead (FA),79,29,0,1,0,0,0,0,16,157.1,9.8,0.0%
14,2018,Tahir Whitehead (FA),89,37,0,5,1,1,0,0,16,200.8,12.6,0.0%
16,2017,Tahir Whitehead (FA),78,32,1,2,1,0,4,0,16,191.9,12.0,0.0%
23,2016,Tahir Whitehead (FA),99,33,0,5,0,0,0,0,15,188.7,12.6,0.0%
73,2015,Tahir Whitehead (FA),36,11,2,6,1,0,1,0,16,105.9,6.6,0.0%
65,2014,Tahir Whitehead (FA),55,22,0,5,2,0,0,0,16,127.0,7.9,0.0%
277,2013,Tahir Whitehead (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
308,2012,Tahir Whitehead (FA),0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
