Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
238,2017,Tamba Hali (FA),1,0,0,0,0,0,0,0,5,1.5,0.3,2.0%
104,2016,Tamba Hali (FA),24,10,3.5,0,0,0,1,0,16,71.8,4.5,2.0%
53,2015,Tamba Hali (FA),39,9,6.5,1,0,2,0,0,15,128.6,8.6,2.0%
56,2014,Tamba Hali (FA),47,12,6,0,0,3,1,0,16,137.2,8.6,2.0%
36,2013,Tamba Hali (FA),39,7,11,1,1,4,2,2,15,180.5,12.0,2.0%
60,2012,Tamba Hali (FA),43,8,9,2,0,1,0,0,15,146.2,9.7,2.0%
34,2011,Tamba Hali (FA),48,18,12,0,0,4,0,0,16,179.8,11.2,2.0%
31,2010,Tamba Hali (FA),37,15,14.5,3,0,4,2,0,16,183.6,11.5,2.0%
48,2009,Tamba Hali (FA),48,15,8.5,1,0,4,0,0,16,157.5,9.8,2.0%
67,2008,Tamba Hali (FA),44,11,3,2,0,3,1,0,15,118.1,7.9,2.0%
32,2007,Tamba Hali (FA),46,13,7.5,2,0,2,0,0,16,120.1,7.5,2.0%
58,2006,Tamba Hali (FA),44,18,8,4,1,5,1,0,16,146.8,9.2,2.0%
