Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
200,2012,Tracy White (FA),4,4,0,0,0,0,0,0,6,9.1,1.5,0.0%
159,2011,Tracy White (FA),16,9,0,1,0,0,0,0,12,32.4,2.7,0.0%
303,2010,Tracy White (FA),0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%
152,2009,Tracy White (FA),16,3,0,3,1,0,1,0,16,44.8,2.8,0.0%
220,2008,Tracy White (FA),1,0,0,0,0,0,0,0,8,1.5,0.2,0.0%
157,2007,Tracy White (FA),0,1,0,0,0,0,2,1,6,14.8,2.5,0.0%
287,2006,Tracy White (FA),0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
280,2005,Tracy White (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
161,2004,Tracy White (FA),19,7,1,0,0,0,0,0,8,40.4,5.1,0.0%
267,2003,Tracy White (FA),0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
