Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
142,2016,Trent Cole (FA),11,5,2,1,0,0,0,0,7,37.4,5.3,0.0%
105,2015,Trent Cole (FA),20,12,3,3,0,2,0,0,14,78.7,5.6,0.0%
64,2014,Trent Cole (FA),40,12,6.5,0,0,3,0,0,15,127.2,8.5,0.0%
50,2013,Trent Cole (FA),44,12,8,3,0,3,0,0,16,153.7,9.6,0.0%
97,2012,Trent Cole (FA),24,16,3,1,0,1,1,0,16,84.9,5.3,0.0%
48,2011,Trent Cole (FA),41,3,11,1,0,1,0,0,14,148.4,10.6,0.0%
41,2010,Trent Cole (FA),50,15,10,2,0,1,0,0,15,173.5,11.6,0.0%
32,2009,Trent Cole (FA),48,8,12.5,0,0,2,0,0,16,178.7,11.2,0.0%
23,2008,Trent Cole (FA),59,18,9,2,0,2,0,0,16,184.3,11.5,0.0%
18,2007,Trent Cole (FA),49,21,12.5,2,0,4,1,0,16,180.3,11.3,0.0%
68,2006,Trent Cole (FA),43,18,8,3,1,1,1,1,16,133.8,8.4,0.0%
94,2005,Trent Cole (FA),35,8,5,2,0,1,0,0,15,88.0,5.9,0.0%
