Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
157,2013,Will Witherspoon (FA),11,1,0,1,1,0,1,0,16,30.3,1.9,0.0%
101,2012,Will Witherspoon (FA),28,17,1,2,1,1,0,1,14,79.4,5.7,0.0%
82,2011,Will Witherspoon (FA),40,14,2,3,1,1,2,0,16,113.0,7.1,0.0%
44,2010,Will Witherspoon (FA),63,29,3,8,2,1,0,0,16,169.7,10.6,0.0%
45,2009,Will Witherspoon (FA),78,11,1,5,1,1,0,1,17,164.5,9.7,0.0%
63,2008,Will Witherspoon (FA),57,15,1,3,1,0,1,0,16,121.9,7.6,0.0%
6,2007,Will Witherspoon (FA),92,18,7,7,0,2,1,0,16,204.9,12.8,0.0%
17,2006,Will Witherspoon (FA),98,14,3,9,0,2,1,0,16,195.1,12.2,0.0%
40,2005,Will Witherspoon (FA),65,15,2.5,14,2,0,0,1,15,156.1,10.4,0.0%
15,2004,Will Witherspoon (FA),84,18,3,14,4,1,1,0,16,210.8,13.2,0.0%
51,2003,Will Witherspoon (FA),73,24,1,5,1,0,0,0,16,164.4,10.3,0.0%
89,2002,Will Witherspoon (FA),49,14,1.5,5,0,1,1,0,12,113.4,9.5,0.0%
