Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
37,2020,Alex Smith (FA),168,252,66.7,"1,582",6.3,6,8,22,10,3,0,0,8,79.6,10.0,5.0%
81,2019,Alex Smith (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,5.0%
31,2018,Alex Smith (FA),205,328,62.5,"2,180",6.6,10,5,22,41,168,1,1,10,137.9,13.8,5.0%
4,2017,Alex Smith (FA),341,505,67.5,"4,042",8.0,26,5,35,60,355,1,1,15,295.1,19.7,5.0%
22,2016,Alex Smith (FA),328,489,67.1,"3,502",7.2,15,8,28,48,134,5,4,15,223.9,14.9,5.0%
15,2015,Alex Smith (FA),307,470,65.3,"3,486",7.4,20,7,45,84,498,2,0,16,271.0,16.9,5.0%
19,2014,Alex Smith (FA),303,464,65.3,"3,265",7.0,18,6,45,49,254,1,1,15,219.9,14.7,5.0%
13,2013,Alex Smith (FA),308,508,60.6,"3,313",6.5,23,7,39,76,431,1,3,15,253.2,16.9,5.0%
29,2012,Alex Smith (FA),153,218,70.2,"1,737",8.0,13,5,24,31,132,0,1,10,122.6,12.3,5.0%
14,2011,Alex Smith (FA),273,445,61.3,"3,144",7.1,17,5,44,52,179,2,2,16,211.8,13.2,5.0%
27,2010,Alex Smith (FA),204,342,59.6,"2,370",6.9,14,10,25,18,60,0,2,11,134.8,12.3,5.0%
22,2009,Alex Smith (FA),225,372,60.5,"2,350",6.3,18,12,22,24,51,0,1,11,144.5,13.1,5.0%
39,2007,Alex Smith (FA),94,193,48.7,914,4.7,2,4,17,13,89,0,2,7,41.5,5.9,5.0%
19,2006,Alex Smith (FA),257,442,58.1,"2,890",6.5,16,16,35,44,147,2,0,16,174.2,10.9,5.0%
49,2005,Alex Smith (FA),84,165,50.9,875,5.3,1,11,29,30,103,0,0,9,27.4,3.0,5.0%
