Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
68,2021,Blaine Gabbert (TB),7,11,63.6,67,6.1,0,0,1,9,-7,0,0,6,1.9,0.3,0.1%
55,2020,Blaine Gabbert (TB),9,16,56.3,143,8.9,2,0,1,9,16,0,0,4,15.3,3.8,0.1%
43,2018,Blaine Gabbert (TB),61,101,60.4,626,6.2,4,4,5,6,0,0,0,8,33.0,4.1,0.1%
38,2017,Blaine Gabbert (TB),95,171,55.6,"1,086",6.4,6,6,23,22,82,0,2,5,61.6,12.3,0.1%
33,2016,Blaine Gabbert (TB),91,160,56.9,925,5.8,5,6,11,40,173,2,0,6,72.7,12.1,0.1%
29,2015,Blaine Gabbert (TB),178,282,63.1,"2,031",7.2,10,7,25,32,185,1,1,8,129.8,16.2,0.1%
57,2014,Blaine Gabbert (TB),3,7,42.9,38,5.4,1,0,0,1,5,0,0,1,6.0,6.0,0.1%
49,2013,Blaine Gabbert (TB),42,86,48.8,481,5.6,1,7,12,9,32,0,0,3,12.4,4.1,0.1%
32,2012,Blaine Gabbert (TB),162,278,58.3,"1,662",6.0,9,6,22,18,56,0,3,10,94.1,9.4,0.1%
27,2011,Blaine Gabbert (TB),210,413,50.8,"2,214",5.4,12,11,40,48,98,0,5,15,114.3,7.6,0.1%
