Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
125,2011,Derrick Mason (FA),19,35,170,8.9,30,0,0,0,0,0,0,11,17.0,1.5,0.0%
27,2010,Derrick Mason (FA),61,100,802,13.1,42,0,7,0,0,0,0,16,122.2,7.6,0.0%
17,2009,Derrick Mason (FA),73,134,"1,028",14.1,72,0,7,1,2,0,0,16,145.0,9.1,0.0%
24,2008,Derrick Mason (FA),64,10,814,12.7,54,0,5,1,3,0,0,13,113.7,8.7,0.0%
38,2007,Derrick Mason (FA),62,0,564,9.1,28,0,2,0,0,0,0,8,68.4,8.6,0.0%
48,2006,Derrick Mason (FA),68,0,750,11.0,38,0,2,1,-4,0,0,15,86.6,5.8,0.0%
24,2005,Derrick Mason (FA),86,7,"1,073",12.5,39,0,3,0,0,0,0,16,125.3,7.8,0.0%
16,2004,Derrick Mason (FA),96,146,"1,168",12.2,37,0,7,1,-3,0,0,16,158.5,9.9,0.0%
7,2003,Derrick Mason (FA),95,133,"1,303",13.7,50,0,8,3,11,0,0,16,179.4,11.2,0.0%
24,2002,Derrick Mason (FA),79,125,"1,012",12.8,40,0,5,0,0,0,1,14,129.2,9.2,0.0%
