Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
116,2015,Greg Jennings (FA),19,36,208,10.9,31,3,1,0,0,0,0,16,26.8,1.7,0.0%
38,2014,Greg Jennings (FA),59,92,742,12.6,38,9,6,0,0,0,0,16,110.2,6.9,0.0%
39,2013,Greg Jennings (FA),68,105,804,11.8,70,11,4,0,0,0,0,15,104.4,7.0,0.0%
74,2012,Greg Jennings (FA),36,62,366,10.2,45,3,4,0,0,0,0,8,60.6,7.6,0.0%
17,2011,Greg Jennings (FA),67,101,949,14.2,79,0,9,0,0,0,0,13,148.9,11.5,0.0%
4,2010,Greg Jennings (FA),76,125,"1,265",16.6,86,0,12,1,-1,0,0,16,198.4,12.4,0.0%
20,2009,Greg Jennings (FA),68,119,"1,113",16.4,83,0,4,0,0,0,0,16,139.3,8.7,0.0%
4,2008,Greg Jennings (FA),80,0,"1,292",16.2,63,0,9,0,0,0,0,16,185.2,11.6,0.0%
9,2007,Greg Jennings (FA),53,6,920,17.4,82,0,12,0,0,0,0,13,164.0,12.6,0.0%
53,2006,Greg Jennings (FA),45,0,632,14.0,75,0,3,0,0,0,0,14,81.2,5.8,0.0%
