Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
27,2017,Jay Cutler (FA),266,429,62.0,"2,666",6.2,19,14,20,19,32,0,0,14,157.7,11.3,0.2%
39,2016,Jay Cutler (FA),81,137,59.1,"1,059",7.7,4,5,17,5,24,0,2,5,46.8,9.4,0.2%
21,2015,Jay Cutler (FA),311,483,64.4,"3,659",7.6,21,11,29,38,201,1,5,15,226.3,15.1,0.2%
14,2014,Jay Cutler (FA),370,561,66.0,"3,812",6.8,28,18,38,39,191,2,6,15,255.6,17.0,0.2%
23,2013,Jay Cutler (FA),224,355,63.1,"2,621",7.4,19,12,19,23,118,0,3,11,168.7,15.3,0.2%
23,2012,Jay Cutler (FA),255,434,58.8,"3,033",7.0,19,14,38,41,233,0,4,15,184.5,12.3,0.2%
24,2011,Jay Cutler (FA),182,314,58.0,"2,319",7.4,13,7,23,18,55,1,3,10,136.3,13.6,0.2%
15,2010,Jay Cutler (FA),261,432,60.4,"3,274",7.6,23,16,52,50,232,1,6,15,210.2,14.0,0.2%
12,2009,Jay Cutler (FA),336,555,60.5,"3,666",6.6,27,26,35,40,173,1,1,16,227.9,14.2,0.2%
4,2008,Jay Cutler (FA),384,616,62.3,"4,526",7.3,25,18,11,57,200,2,0,16,279.1,17.4,0.2%
9,2007,Jay Cutler (FA),297,467,63.6,"3,497",7.5,20,14,27,44,205,1,0,16,218.6,13.7,0.2%
38,2006,Jay Cutler (FA),81,137,59.1,"1,001",7.3,9,5,13,12,18,0,0,5,67.8,13.6,0.2%
