Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
109,2020,Julian Edelman (FA),21,39,315,15.0,49,6,0,2,22,0,0,6,35.2,5.9,12.1%
13,2019,Julian Edelman (FA),100,153,"1,117",11.2,44,19,6,8,27,0,1,16,156.3,9.8,12.1%
23,2018,Julian Edelman (FA),74,108,850,11.5,36,17,6,9,107,0,0,12,133.4,11.1,12.1%
22,2016,Julian Edelman (FA),98,159,"1,106",11.3,77,11,3,12,57,0,2,16,132.3,8.3,12.1%
37,2015,Julian Edelman (FA),61,88,692,11.3,59,8,7,3,23,0,1,9,111.5,12.4,12.1%
27,2014,Julian Edelman (FA),92,134,972,10.6,69,7,4,10,94,0,0,14,130.6,9.3,12.1%
18,2013,Julian Edelman (FA),105,151,"1,056",10.1,44,9,6,2,11,0,0,16,146.7,9.2,12.1%
89,2012,Julian Edelman (FA),21,32,235,11.2,56,1,3,4,45,0,1,9,44.0,4.9,12.1%
168,2011,Julian Edelman (FA),4,8,34,8.5,11,0,0,4,8,0,1,13,2.2,0.2,12.1%
142,2010,Julian Edelman (FA),7,14,86,12.3,40,0,0,2,14,0,0,15,10.0,0.7,12.1%
87,2009,Julian Edelman (FA),37,54,359,9.7,29,0,1,2,5,0,0,11,42.4,3.9,12.1%
