Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
47,2021,Kyle Rudolph (TB),26,39,257,9.9,60,6,1,0,0,0,0,15,33.7,2.2,3.0%
41,2020,Kyle Rudolph (TB),28,37,334,11.9,25,5,1,0,0,0,1,12,37.4,3.1,3.0%
14,2019,Kyle Rudolph (TB),39,48,367,9.4,32,4,6,0,0,0,0,16,74.7,4.7,3.0%
9,2018,Kyle Rudolph (TB),64,82,634,9.9,44,8,4,0,0,0,0,16,87.4,5.5,3.0%
6,2017,Kyle Rudolph (TB),57,81,532,9.3,34,4,8,0,0,0,0,16,101.2,6.3,3.0%
3,2016,Kyle Rudolph (TB),83,132,840,10.1,44,11,7,0,0,0,0,16,126.0,7.9,3.0%
14,2015,Kyle Rudolph (TB),49,73,495,10.1,47,4,5,0,0,0,0,16,79.5,5.0,3.0%
37,2014,Kyle Rudolph (TB),24,34,231,9.6,23,2,2,0,0,0,0,9,35.1,3.9,3.0%
36,2013,Kyle Rudolph (TB),30,46,313,10.4,31,6,3,0,0,0,0,8,49.3,6.2,3.0%
9,2012,Kyle Rudolph (TB),53,94,493,9.3,29,5,9,0,0,0,0,16,105.3,6.6,3.0%
36,2011,Kyle Rudolph (TB),26,39,249,9.6,41,0,3,0,0,0,0,15,42.9,2.9,3.0%
