Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
68,2021,Lee Smith (FA),9,11,65,7.2,22,1,1,0,0,0,0,10,12.5,1.3,0.0%
67,2020,Lee Smith (FA),4,6,35,8.8,27,1,2,0,0,0,0,10,15.5,1.6,0.0%
81,2019,Lee Smith (FA),4,5,31,7.8,9,0,1,0,0,0,0,16,9.1,0.6,0.0%
51,2018,Lee Smith (FA),10,11,73,7.3,30,2,3,0,0,0,0,16,25.3,1.6,0.0%
84,2017,Lee Smith (FA),8,11,76,9.5,21,1,0,0,0,0,0,16,7.6,0.5,0.0%
94,2016,Lee Smith (FA),6,6,29,4.8,12,0,0,0,0,0,0,4,2.9,0.7,0.0%
71,2015,Lee Smith (FA),12,13,70,5.8,17,0,1,0,0,0,0,15,13.0,0.9,0.0%
75,2014,Lee Smith (FA),7,8,42,6.0,18,0,1,0,0,0,0,14,10.2,0.7,0.0%
76,2013,Lee Smith (FA),5,9,78,15.6,28,2,0,0,0,0,0,16,7.8,0.5,0.0%
56,2012,Lee Smith (FA),4,4,13,3.3,5,0,2,0,0,0,0,16,13.3,0.8,0.0%
102,2011,Lee Smith (FA),4,4,11,2.8,6,0,0,0,0,0,0,10,1.1,0.1,0.0%
