Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
75,2019,Matt Cassel (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
58,2018,Matt Cassel (FA),7,17,41.2,59,3.5,0,1,1,2,13,0,0,2,1.7,0.9,0.0%
61,2017,Matt Cassel (FA),25,42,59.5,162,3.9,1,2,8,0,0,0,2,2,2.4,1.2,0.0%
49,2016,Matt Cassel (FA),30,51,58.8,284,5.6,2,2,5,4,3,0,0,4,15.7,3.9,0.0%
37,2015,Matt Cassel (FA),119,204,58.3,"1,276",6.3,5,7,14,15,78,0,0,9,66.9,7.4,0.0%
46,2014,Matt Cassel (FA),41,71,57.7,425,6.0,3,4,6,9,18,0,0,3,22.8,7.6,0.0%
31,2013,Matt Cassel (FA),153,254,60.2,"1,807",7.1,11,9,16,18,57,1,1,9,108.0,12.0,0.0%
35,2012,Matt Cassel (FA),161,277,58.1,"1,796",6.5,6,12,19,27,145,1,7,9,78.2,8.7,0.0%
30,2011,Matt Cassel (FA),160,269,59.5,"1,713",6.4,10,9,22,25,99,0,2,9,95.9,10.7,0.0%
12,2010,Matt Cassel (FA),262,450,58.2,"3,116",6.9,27,7,26,33,125,0,1,15,229.0,15.3,0.0%
20,2009,Matt Cassel (FA),271,493,55.0,"2,924",5.9,16,16,42,50,189,0,3,15,163.8,10.9,0.0%
6,2008,Matt Cassel (FA),327,516,63.4,"3,693",7.2,21,11,47,73,270,2,2,16,248.8,15.6,0.0%
60,2007,Matt Cassel (FA),4,7,57.1,38,5.4,0,1,0,4,12,1,0,6,6.7,1.1,0.0%
64,2006,Matt Cassel (FA),5,8,62.5,32,4.0,0,0,3,2,4,0,0,5,1.7,0.3,0.0%
55,2005,Matt Cassel (FA),13,24,54.2,183,7.6,2,1,1,6,12,0,0,2,14.5,7.3,0.0%
