Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
42,2019,Matt Moore (FA),59,91,64.8,659,7.2,4,0,8,5,-1,0,0,6,42.3,7.1,0.0%
41,2017,Matt Moore (FA),78,127,61.4,861,6.8,4,5,12,3,9,0,0,4,41.3,10.3,0.0%
36,2016,Matt Moore (FA),55,87,63.2,721,8.3,8,3,1,1,-1,0,0,4,54.7,13.7,0.0%
67,2015,Matt Moore (FA),1,1,100.0,14,14.0,0,0,0,3,-2,0,0,1,0.4,0.4,0.0%
65,2014,Matt Moore (FA),2,4,50.0,21,5.3,0,0,0,2,-2,0,0,2,0.6,0.3,0.0%
68,2013,Matt Moore (FA),2,6,33.3,53,8.8,0,2,0,0,0,0,0,1,-1.9,-1.9,0.0%
50,2012,Matt Moore (FA),11,19,57.9,131,6.9,1,0,2,5,-3,0,0,2,8.9,4.5,0.0%
22,2011,Matt Moore (FA),210,347,60.5,"2,497",7.2,16,9,36,32,65,2,6,13,152.5,11.7,0.0%
45,2010,Matt Moore (FA),79,143,55.2,857,6.0,5,10,13,5,25,0,2,6,32.8,5.5,0.0%
31,2009,Matt Moore (FA),85,138,61.6,"1,053",7.6,8,2,9,12,-3,0,0,7,69.8,10.0,0.0%
43,2007,Matt Moore (FA),63,111,56.8,730,6.6,3,5,6,3,5,0,0,9,31.6,3.5,0.0%
