Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
51,2011,Maurice Morris (FA),80,316,4.0,31,0,1,26,35,230,8.8,1,0,13,66.6,5.1,0.0%
48,2010,Maurice Morris (FA),90,336,3.7,26,0,5,25,31,170,6.8,0,0,13,80.6,6.2,0.0%
48,2009,Maurice Morris (FA),93,384,4.1,64,0,2,26,38,210,8.1,0,0,14,73.4,5.2,0.0%
45,2008,Maurice Morris (FA),126,543,4.3,45,0,0,19,5,136,7.2,2,1,12,77.9,6.5,0.0%
65,2007,Maurice Morris (FA),28,129,4.6,21,0,0,6,0,99,16.5,1,0,5,28.8,5.8,0.0%
52,2006,Maurice Morris (FA),161,604,3.8,29,0,0,11,0,46,4.2,0,0,16,65.0,4.1,0.0%
71,2005,Maurice Morris (FA),71,288,4.1,49,0,1,5,0,48,9.6,0,0,14,39.6,2.8,0.0%
94,2004,Maurice Morris (FA),30,126,4.2,12,0,0,9,20,53,5.9,0,0,15,17.9,1.2,0.0%
79,2003,Maurice Morris (FA),38,239,6.3,43,0,0,4,6,32,8.0,1,1,16,31.1,1.9,0.0%
98,2002,Maurice Morris (FA),32,153,4.8,24,0,0,3,3,25,8.3,0,1,11,15.8,1.4,0.0%
