Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
127,2015,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
137,2014,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
134,2013,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
111,2012,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
119,2011,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
109,2010,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
108,2009,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
102,2008,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
103,2007,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
109,2006,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
110,2005,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
116,2004,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
109,2003,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
110,2002,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
