Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
35,2020,Mike Nugent (FA),7,8,87.5,43,0,1,4,2,0,7,7,4,30.0,7.5,1.0%
37,2019,Mike Nugent (FA),5,8,62.5,37,0,3,2,0,0,15,16,5,30.0,6.0,1.0%
38,2018,Mike Nugent (FA),6,6,100.0,52,0,3,0,2,1,4,5,3,26.0,8.7,1.0%
33,2017,Mike Nugent (FA),11,13,84.6,55,0,3,3,4,1,15,17,8,54.0,6.8,1.0%
25,2016,Mike Nugent (FA),23,29,79.3,47,0,9,9,5,0,23,29,13,97.0,7.5,1.0%
11,2015,Mike Nugent (FA),23,28,82.1,52,0,6,5,10,2,48,48,16,131.0,8.2,1.0%
17,2014,Mike Nugent (FA),26,33,78.8,49,0,6,10,10,0,39,39,16,127.0,7.9,1.0%
23,2013,Mike Nugent (FA),18,22,81.8,54,0,2,6,7,3,52,52,16,119.0,7.4,1.0%
28,2012,Mike Nugent (FA),19,23,82.6,55,2,5,5,6,1,35,35,12,100.0,8.3,1.0%
6,2011,Mike Nugent (FA),33,38,86.8,49,0,14,5,14,0,33,34,16,146.0,9.1,1.0%
28,2010,Mike Nugent (FA),15,19,78.9,54,0,2,2,0,1,17,17,9,34.0,3.8,1.0%
34,2009,Mike Nugent (FA),4,8,50.0,48,0,0,0,0,0,14,14,6,14.0,2.3,1.0%
40,2008,Mike Nugent (FA),0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%
18,2007,Mike Nugent (FA),29,36,80.6,50,0,0,0,0,0,16,16,16,16.0,1.0,1.0%
16,2006,Mike Nugent (FA),24,27,88.9,54,0,0,0,0,0,34,35,16,34.0,2.1,1.0%
24,2005,Mike Nugent (FA),22,28,78.6,49,0,0,0,0,0,24,24,16,24.0,1.5,1.0%
