Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
31,2011,Neil Rackers (FA),32,38,84.2,54,0,0,0,0,0,39,39,16,39.0,2.4,0.0%
27,2010,Neil Rackers (FA),27,30,90.0,57,0,0,0,0,0,43,43,16,43.0,2.7,0.0%
12,2009,Neil Rackers (FA),16,17,94.1,48,0,0,0,0,0,37,37,14,37.0,2.6,0.0%
9,2008,Neil Rackers (FA),20,21,95.2,54,0,0,0,0,0,33,33,12,33.0,2.8,0.0%
17,2007,Neil Rackers (FA),11,16,68.8,52,0,0,0,0,0,16,16,8,16.0,2.0,0.0%
20,2006,Neil Rackers (FA),28,37,75.7,50,0,0,0,0,0,32,32,16,32.0,2.0,0.0%
28,2005,Neil Rackers (FA),40,42,95.2,54,0,0,0,0,0,20,20,15,20.0,1.3,0.0%
25,2004,Neil Rackers (FA),22,29,75.9,55,0,0,0,0,0,28,28,16,28.0,1.8,0.0%
34,2003,Neil Rackers (FA),9,12,75.0,49,0,0,0,0,0,8,8,7,8.0,1.1,0.0%
23,2002,Neil Rackers (FA),15,18,83.3,54,0,0,0,0,0,30,31,16,30.0,1.9,0.0%
