Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
34,2015,Peyton Manning (FA),198,331,59.8,"2,249",6.8,9,17,16,6,-6,0,0,10,91.3,9.1,0.0%
4,2014,Peyton Manning (FA),395,597,66.2,"4,727",7.9,39,15,17,24,-24,0,2,16,312.7,19.5,0.0%
1,2013,Peyton Manning (FA),450,659,68.3,"5,477",8.3,55,10,18,32,-31,1,6,16,410.1,25.6,0.0%
6,2012,Peyton Manning (FA),400,583,68.6,"4,659",8.0,37,11,21,23,6,0,2,16,311.0,19.4,0.0%
4,2010,Peyton Manning (FA),450,679,66.3,"4,700",6.9,33,17,16,18,18,0,1,16,286.0,17.9,0.0%
5,2009,Peyton Manning (FA),393,571,68.8,"4,500",7.9,33,16,10,19,-13,0,0,16,278.8,17.4,0.0%
5,2008,Peyton Manning (FA),371,555,66.8,"4,002",7.2,27,12,14,20,21,1,0,16,254.2,15.9,0.0%
3,2007,Peyton Manning (FA),337,515,65.4,"4,040",7.8,31,14,21,20,-5,3,0,16,275.0,17.2,0.0%
1,2006,Peyton Manning (FA),362,557,65.0,"4,397",7.9,31,9,14,23,36,4,0,16,311.4,19.5,0.0%
3,2005,Peyton Manning (FA),305,453,67.3,"3,747",8.3,28,10,17,33,45,0,0,16,246.4,15.4,0.0%
2,2004,Peyton Manning (FA),336,497,67.6,"4,557",9.2,49,10,13,25,38,0,1,16,359.9,22.5,0.0%
2,2003,Peyton Manning (FA),379,566,67.0,"4,267",7.5,29,10,18,28,26,0,1,16,268.9,16.8,0.0%
4,2002,Peyton Manning (FA),392,591,66.3,"4,200",7.1,27,19,23,38,148,2,2,16,265.1,16.6,0.0%
