Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
36,2018,Phil Dawson (FA),5,8,62.5,43,0,2,2,1,0,15,15,10,31.0,3.1,0.1%
14,2017,Phil Dawson (FA),32,40,80.0,57,1,7,10,10,4,23,26,16,137.0,8.6,0.1%
26,2016,Phil Dawson (FA),18,21,85.7,53,0,4,6,7,1,33,34,16,96.0,6.0,0.1%
23,2015,Phil Dawson (FA),24,27,88.9,54,0,9,6,6,3,20,20,16,104.0,6.5,0.1%
18,2014,Phil Dawson (FA),25,31,80.6,55,0,6,8,5,6,33,33,16,125.0,7.8,0.1%
6,2013,Phil Dawson (FA),32,36,88.9,56,0,12,6,10,4,44,44,16,158.0,9.9,0.1%
11,2012,Phil Dawson (FA),29,31,93.5,53,0,8,8,6,7,29,29,16,136.0,8.5,0.1%
17,2011,Phil Dawson (FA),24,29,82.8,54,0,7,3,6,8,20,20,16,114.0,7.1,0.1%
25,2010,Phil Dawson (FA),23,28,82.1,48,1,5,6,0,0,28,28,16,64.0,4.0,0.1%
31,2009,Phil Dawson (FA),17,19,89.5,49,0,0,0,0,0,18,18,11,18.4,1.7,0.1%
31,2008,Phil Dawson (FA),30,36,83.3,56,0,0,0,0,0,14,14,16,14.0,0.9,0.1%
5,2007,Phil Dawson (FA),26,30,86.7,51,0,0,0,0,0,24,25,16,24.0,1.5,0.1%
28,2006,Phil Dawson (FA),21,29,72.4,51,0,0,0,0,0,25,25,16,25.0,1.6,0.1%
30,2005,Phil Dawson (FA),27,29,93.1,44,0,0,0,0,0,19,20,16,19.0,1.2,0.1%
24,2004,Phil Dawson (FA),24,29,82.8,50,0,0,0,0,0,28,28,16,28.0,1.8,0.1%
30,2003,Phil Dawson (FA),18,21,85.7,52,0,0,0,0,0,20,20,13,21.4,1.6,0.1%
18,2002,Phil Dawson (FA),22,28,78.6,52,0,0,0,0,0,34,35,16,34.0,2.1,0.1%
