Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
99,2016,Reggie Bush (FA),12,-3,-0.3,5,0,1,7,10,90,12.9,0,0,13,16.7,1.3,0.0%
138,2015,Reggie Bush (FA),8,28,3.5,9,0,0,4,10,19,4.8,0,0,5,4.7,0.9,0.0%
51,2014,Reggie Bush (FA),76,297,3.9,26,1,2,40,56,253,6.3,0,0,11,67.0,6.1,0.0%
11,2013,Reggie Bush (FA),223,"1,006",4.5,39,6,4,54,80,506,9.4,3,4,14,185.2,13.2,0.0%
14,2012,Reggie Bush (FA),227,986,4.3,65,6,6,35,51,292,8.3,2,2,16,171.8,10.7,0.0%
13,2011,Reggie Bush (FA),216,"1,086",5.0,76,0,6,43,52,296,6.9,1,2,15,176.2,11.7,0.0%
70,2010,Reggie Bush (FA),36,150,4.2,23,0,0,34,42,208,6.1,1,1,8,39.8,5.0,0.0%
37,2009,Reggie Bush (FA),70,390,5.6,55,0,5,47,68,335,7.1,3,2,14,116.5,8.3,0.0%
30,2008,Reggie Bush (FA),106,404,3.8,43,0,2,52,2,440,8.5,4,0,10,120.4,12.0,0.0%
12,2007,Reggie Bush (FA),157,581,3.7,22,0,4,73,13,417,5.7,2,0,12,137.8,11.5,0.0%
17,2006,Reggie Bush (FA),155,565,3.6,18,0,6,88,0,742,8.4,2,0,16,176.7,11.0,0.0%
