Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
56,2014,Reggie Wayne (FA),64,116,779,12.2,80,10,2,0,0,0,1,15,87.9,5.9,0.0%
67,2013,Reggie Wayne (FA),38,58,503,13.2,35,8,2,1,5,0,0,7,64.8,9.3,0.0%
15,2012,Reggie Wayne (FA),106,195,"1,355",12.8,33,22,5,1,-5,0,1,16,163.0,10.2,0.0%
28,2011,Reggie Wayne (FA),75,131,960,12.8,56,0,4,0,0,0,0,16,120.0,7.5,0.0%
9,2010,Reggie Wayne (FA),111,175,"1,355",12.2,50,0,6,0,0,0,1,16,169.5,10.6,0.0%
6,2009,Reggie Wayne (FA),100,149,"1,264",12.6,65,0,10,0,0,0,0,16,184.4,11.5,0.0%
10,2008,Reggie Wayne (FA),82,7,"1,145",14.0,65,0,6,0,0,0,0,16,152.5,9.5,0.0%
2,2007,Reggie Wayne (FA),104,0,"1,510",14.5,64,0,10,1,4,0,0,16,211.4,13.2,0.0%
3,2006,Reggie Wayne (FA),86,0,"1,310",15.2,51,0,9,0,0,0,0,16,187.0,11.7,0.0%
21,2005,Reggie Wayne (FA),83,0,"1,055",12.7,66,0,5,0,0,0,0,15,135.5,9.0,0.0%
8,2004,Reggie Wayne (FA),77,105,"1,210",15.7,71,0,12,1,-4,0,0,16,192.6,12.0,0.0%
20,2003,Reggie Wayne (FA),68,107,838,12.3,57,0,7,0,0,0,0,16,125.8,7.9,0.0%
49,2002,Reggie Wayne (FA),49,72,716,14.6,49,0,4,0,0,0,1,15,93.6,6.2,0.0%
