Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
32,2011,Ryan Longwell (FA),22,28,78.6,53,0,0,0,0,0,38,39,16,38.0,2.4,0.0%
31,2010,Ryan Longwell (FA),17,18,94.4,48,0,0,0,0,0,30,30,16,30.0,1.9,0.0%
1,2009,Ryan Longwell (FA),26,28,92.9,52,0,0,0,0,0,54,54,16,54.0,3.4,0.0%
4,2008,Ryan Longwell (FA),19,22,86.4,54,0,0,0,0,0,35,35,12,35.0,2.9,0.0%
13,2007,Ryan Longwell (FA),11,14,78.6,55,0,0,0,0,0,19,19,8,19.0,2.4,0.0%
21,2006,Ryan Longwell (FA),21,25,84.0,49,0,0,0,0,0,27,27,16,31.6,2.0,0.0%
18,2005,Ryan Longwell (FA),20,27,74.1,53,0,0,0,0,0,30,31,16,30.0,1.9,0.0%
5,2004,Ryan Longwell (FA),24,28,85.7,53,0,0,0,0,0,48,48,16,48.0,3.0,0.0%
2,2003,Ryan Longwell (FA),23,26,88.5,50,0,0,0,0,0,51,51,16,51.0,3.2,0.0%
3,2002,Ryan Longwell (FA),28,34,82.4,49,0,0,0,0,0,44,44,16,44.0,2.8,0.0%
