Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
174,2017,Darren McFadden (FA),1,-2,-2.0,0,0,0,0,0,0,0,0,0,1,-0.2,-0.2,7.0%
114,2016,Darren McFadden (FA),24,87,3.6,24,1,0,3,5,17,5.7,0,0,3,10.4,3.5,7.0%
13,2015,Darren McFadden (FA),239,"1,089",4.6,50,9,3,40,53,328,8.2,0,3,16,155.7,9.7,7.0%
39,2014,Darren McFadden (FA),155,534,3.4,25,1,2,36,56,212,5.9,0,1,16,84.6,5.3,7.0%
47,2013,Darren McFadden (FA),114,379,3.3,30,4,5,17,25,108,6.4,0,1,10,81.3,8.1,7.0%
28,2012,Darren McFadden (FA),216,707,3.3,64,4,2,42,62,258,6.1,1,2,12,110.5,9.2,7.0%
34,2011,Darren McFadden (FA),113,614,5.4,70,0,4,19,23,154,8.1,1,1,7,104.8,15.0,7.0%
6,2010,Darren McFadden (FA),223,"1,157",5.2,57,0,7,47,61,507,10.8,3,3,13,220.4,17.0,7.0%
56,2009,Darren McFadden (FA),104,357,3.4,28,0,1,21,36,245,11.7,0,3,12,60.2,5.0,7.0%
38,2008,Darren McFadden (FA),113,499,4.4,50,0,4,29,0,285,9.8,0,0,13,102.4,7.9,7.0%
