Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
116,2015,Steven Jackson (FA),21,50,2.4,7,0,1,1,1,20,20.0,0,0,2,13.0,6.5,0.0%
23,2014,Steven Jackson (FA),190,707,3.7,55,2,6,20,27,148,7.4,0,0,15,121.5,8.1,0.0%
32,2013,Steven Jackson (FA),157,543,3.5,50,3,6,33,49,191,5.8,1,0,12,115.4,9.6,0.0%
16,2012,Steven Jackson (FA),258,"1,045",4.1,46,5,4,38,53,321,8.4,0,0,16,162.6,10.2,0.0%
11,2011,Steven Jackson (FA),260,"1,145",4.4,47,0,5,42,58,333,7.9,1,1,15,181.8,12.1,0.0%
13,2010,Steven Jackson (FA),330,"1,241",3.8,42,0,6,46,61,383,8.3,0,1,16,196.4,12.3,0.0%
10,2009,Steven Jackson (FA),324,"1,416",4.4,58,0,4,51,75,322,6.3,0,2,15,193.8,12.9,0.0%
9,2008,Steven Jackson (FA),253,"1,042",4.1,56,0,7,40,8,379,9.5,1,0,12,190.1,15.8,0.0%
6,2007,Steven Jackson (FA),237,"1,002",4.2,54,0,5,38,4,271,7.1,1,0,12,167.4,14.0,0.0%
3,2006,Steven Jackson (FA),346,"1,528",4.4,59,0,13,90,0,806,9.0,3,0,16,329.4,20.6,0.0%
11,2005,Steven Jackson (FA),254,"1,046",4.1,51,0,8,43,2,320,7.4,2,0,15,196.6,13.1,0.0%
31,2004,Steven Jackson (FA),134,673,5.0,48,0,4,19,24,189,9.9,0,1,14,108.2,7.7,0.0%
