Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
239,2021,Taiwan Jones (BUF),0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
175,2020,Taiwan Jones (BUF),0,0,0,0,0,0,0,2,0,0,0,0,13,0.0,0.0,0.0%
121,2019,Taiwan Jones (BUF),9,40,4.4,11,0,0,1,1,9,9.0,0,0,11,4.9,0.4,0.0%
154,2018,Taiwan Jones (BUF),0,0,0,0,0,0,0,2,0,0,0,0,6,0.0,0.0,0.0%
150,2017,Taiwan Jones (BUF),0,0,0,0,0,0,1,2,11,11.0,0,0,8,1.1,0.1,0.0%
134,2016,Taiwan Jones (BUF),1,-8,-8.0,0,0,0,4,4,43,10.8,0,0,13,3.5,0.3,0.0%
101,2015,Taiwan Jones (BUF),16,74,4.6,19,0,0,7,9,106,15.1,1,1,12,22.0,1.8,0.0%
163,2014,Taiwan Jones (BUF),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
120,2013,Taiwan Jones (BUF),5,23,4.6,19,0,0,2,3,55,27.5,0,1,16,5.8,0.4,0.0%
138,2012,Taiwan Jones (BUF),6,21,3.5,7,0,0,2,2,11,5.5,0,0,14,3.2,0.2,0.0%
115,2011,Taiwan Jones (BUF),16,73,4.6,14,0,0,2,3,25,12.5,0,0,10,9.8,1.0,0.0%
