Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
63,2013,Willis McGahee (FA),138,377,2.7,16,0,2,8,11,20,2.5,0,1,12,49.7,4.1,0.0%
26,2012,Willis McGahee (FA),167,731,4.4,31,2,4,26,33,221,8.5,0,4,10,113.2,11.3,0.0%
21,2011,Willis McGahee (FA),249,"1,199",4.8,60,0,4,12,20,51,4.3,1,3,15,151.0,10.1,0.0%
50,2010,Willis McGahee (FA),100,380,3.8,30,0,5,14,17,55,3.9,1,2,15,75.5,5.0,0.0%
25,2009,Willis McGahee (FA),109,544,5.0,77,0,12,15,22,85,5.7,2,1,16,144.9,9.1,0.0%
26,2008,Willis McGahee (FA),170,671,3.9,77,0,7,24,3,173,7.2,0,1,13,124.4,9.6,0.0%
2,2007,Willis McGahee (FA),294,"1,207",4.1,46,0,7,43,2,231,5.4,1,0,15,191.8,12.8,0.0%
26,2006,Willis McGahee (FA),259,990,3.8,57,0,6,18,0,156,8.7,0,0,14,150.6,10.8,0.0%
13,2005,Willis McGahee (FA),325,"1,247",3.8,27,0,5,28,0,178,6.4,0,0,16,172.5,10.8,0.0%
9,2004,Willis McGahee (FA),284,"1,128",4.0,41,0,13,22,36,169,7.7,0,2,15,203.7,13.6,0.0%
