Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
116,2012,Daniel Graham (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
70,2011,Daniel Graham (FA),2,5,25,12.5,21,0,1,0,0,0,0,8,8.5,1.1,0.0%
58,2010,Daniel Graham (FA),18,37,148,8.2,28,0,0,0,0,0,0,14,14.8,1.1,0.0%
37,2009,Daniel Graham (FA),28,43,289,10.3,24,0,1,0,0,0,0,15,34.9,2.3,0.0%
20,2008,Daniel Graham (FA),26,0,317,12.2,28,0,4,0,0,0,0,11,55.7,5.1,0.0%
47,2007,Daniel Graham (FA),16,0,149,9.3,21,0,0,0,0,0,0,8,14.9,1.9,0.0%
32,2006,Daniel Graham (FA),21,0,235,11.2,29,0,2,0,0,0,0,11,35.5,3.2,0.0%
27,2005,Daniel Graham (FA),16,0,235,14.7,45,0,3,0,0,0,0,7,41.5,5.9,0.0%
10,2004,Daniel Graham (FA),30,48,364,12.1,48,0,7,0,0,0,0,14,78.4,5.6,0.0%
11,2003,Daniel Graham (FA),38,63,409,10.8,38,0,4,0,0,0,0,13,64.9,5.0,0.0%
44,2002,Daniel Graham (FA),15,23,150,10.0,31,0,1,0,0,0,0,10,21.0,2.1,0.0%
