Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
4,2013,Tony Gonzalez (FA),83,121,859,10.3,25,5,8,0,0,0,0,16,135.9,8.5,0.0%
3,2012,Tony Gonzalez (FA),93,124,930,10.0,25,3,8,0,0,0,0,16,141.0,8.8,0.0%
5,2011,Tony Gonzalez (FA),80,116,875,10.9,30,0,7,0,0,0,0,16,129.5,8.1,0.0%
8,2010,Tony Gonzalez (FA),70,108,656,9.4,34,0,6,0,0,0,0,16,101.6,6.4,0.0%
5,2009,Tony Gonzalez (FA),83,135,867,10.4,27,0,6,0,0,0,0,16,122.7,7.7,0.0%
1,2008,Tony Gonzalez (FA),96,10,"1,058",11.0,35,0,10,0,0,0,0,16,165.8,10.4,0.0%
3,2007,Tony Gonzalez (FA),99,13,"1,172",11.8,31,0,5,0,0,0,0,16,147.2,9.2,0.0%
3,2006,Tony Gonzalez (FA),73,0,900,12.3,57,0,5,0,0,0,0,15,122.0,8.1,0.0%
9,2005,Tony Gonzalez (FA),78,0,905,11.6,39,0,2,0,0,0,0,16,102.5,6.4,0.0%
2,2004,Tony Gonzalez (FA),102,148,"1,258",12.3,32,0,7,1,5,0,0,16,168.3,10.5,0.0%
1,2003,Tony Gonzalez (FA),71,106,916,12.9,67,0,10,0,0,0,0,16,151.6,9.5,0.0%
3,2002,Tony Gonzalez (FA),63,99,773,12.3,42,0,7,0,0,0,0,16,119.3,7.5,0.0%
