Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
171,2021,Andre Roberts (CAR),1,2,35,35.0,35,2,0,3,19,0,2,16,7.4,0.5,0.0%
252,2020,Andre Roberts (CAR),4,5,34,8.5,16,0,0,1,-3,0,2,15,-0.9,-0.1,0.0%
182,2019,Andre Roberts (CAR),3,7,20,6.7,7,0,0,1,7,0,0,13,2.7,0.2,0.0%
153,2018,Andre Roberts (CAR),10,18,79,7.9,20,1,1,2,20,0,1,16,13.9,0.9,0.0%
228,2017,Andre Roberts (CAR),1,4,12,12.0,12,0,0,0,0,0,1,16,-0.8,-0.1,0.0%
123,2016,Andre Roberts (CAR),14,25,188,13.4,44,3,1,0,0,0,1,16,22.8,1.4,0.0%
143,2015,Andre Roberts (CAR),11,21,135,12.3,38,1,0,0,0,0,0,9,13.5,1.5,0.0%
85,2014,Andre Roberts (CAR),36,73,453,12.6,61,7,2,2,21,0,2,16,55.4,3.5,0.0%
72,2013,Andre Roberts (CAR),43,76,471,11.0,34,3,2,0,0,0,0,16,59.1,3.7,0.0%
37,2012,Andre Roberts (CAR),64,114,759,11.9,46,10,5,4,29,0,0,15,108.8,7.3,0.0%
61,2011,Andre Roberts (CAR),51,98,586,11.5,45,0,2,3,27,0,0,16,73.3,4.6,0.0%
93,2010,Andre Roberts (CAR),24,49,307,12.8,74,0,2,0,0,0,1,15,40.7,2.7,0.0%
