Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
57,2021,Antonio Brown (FA),42,62,545,13.0,62,15,4,1,6,0,0,7,79.1,11.3,0.4%
66,2020,Antonio Brown (FA),45,62,483,10.7,46,9,4,2,-2,0,0,8,72.1,9.0,0.4%
146,2019,Antonio Brown (FA),4,8,56,14.0,20,1,1,1,5,0,0,1,12.1,12.1,0.4%
2,2018,Antonio Brown (FA),104,168,"1,297",12.5,78,33,15,0,0,0,0,15,219.7,14.6,0.4%
2,2017,Antonio Brown (FA),101,163,"1,533",15.2,57,27,9,0,0,0,0,14,209.3,15.0,0.4%
3,2016,Antonio Brown (FA),106,154,"1,284",12.1,51,22,12,3,9,0,0,15,201.3,13.4,0.4%
1,2015,Antonio Brown (FA),136,193,"1,834",13.5,59,25,10,3,28,0,2,16,246.2,15.4,0.4%
1,2014,Antonio Brown (FA),129,181,"1,698",13.2,63,19,13,4,13,0,2,16,251.9,15.7,0.4%
7,2013,Antonio Brown (FA),110,166,"1,499",13.6,56,23,8,7,4,0,0,16,198.9,12.4,0.4%
40,2012,Antonio Brown (FA),66,106,787,11.9,60,10,5,7,24,0,2,13,105.1,8.1,0.4%
24,2011,Antonio Brown (FA),69,124,"1,108",16.1,79,0,2,7,41,0,0,16,126.9,7.9,0.4%
127,2010,Antonio Brown (FA),16,19,167,10.4,26,0,0,0,0,0,0,9,16.7,1.9,0.4%
161,2005,Antonio Brown (FA),0,0,0,0,0,0,0,2,7,0,0,7,0.7,0.1,0.0%
179,2004,Antonio Brown (FA),0,0,0,0,0,0,0,0,0,0,1,3,-2.0,-0.7,0.0%
152,2003,Antonio Brown (FA),0,0,0,0,0,0,0,1,17,0,0,16,1.7,0.1,0.0%
