Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
244,2019,Brandon Marshall (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.6%
138,2018,Brandon Marshall (FA),11,23,136,12.4,27,2,1,0,0,0,0,7,19.6,2.8,2.6%
131,2017,Brandon Marshall (FA),18,33,154,8.6,18,0,0,0,0,0,0,5,15.4,3.1,2.6%
52,2016,Brandon Marshall (FA),59,128,788,13.4,41,10,3,0,0,0,0,15,96.8,6.5,2.6%
3,2015,Brandon Marshall (FA),109,173,"1,502",13.8,69,19,14,0,0,0,2,16,230.2,14.4,2.6%
34,2014,Brandon Marshall (FA),61,106,721,11.8,47,5,8,0,0,0,1,13,118.1,9.1,2.6%
5,2013,Brandon Marshall (FA),100,163,"1,295",13.0,44,16,12,0,0,0,0,16,205.5,12.8,2.6%
2,2012,Brandon Marshall (FA),118,194,"1,508",12.8,56,18,11,1,-2,0,0,16,216.6,13.5,2.6%
13,2011,Brandon Marshall (FA),81,142,"1,214",15.0,65,3,6,1,13,0,1,16,156.7,9.8,2.6%
28,2010,Brandon Marshall (FA),86,146,"1,014",11.8,46,0,3,2,3,0,1,14,117.7,8.4,2.6%
9,2009,Brandon Marshall (FA),101,154,"1,120",11.1,75,0,10,7,39,0,0,15,175.9,11.7,2.6%
8,2008,Brandon Marshall (FA),104,0,"1,265",12.2,47,0,6,2,-4,0,0,15,162.1,10.8,2.6%
5,2007,Brandon Marshall (FA),102,0,"1,325",13.0,68,0,7,5,57,0,0,16,180.2,11.3,2.6%
85,2006,Brandon Marshall (FA),20,0,309,15.5,71,0,2,2,12,0,0,15,44.1,2.9,2.6%
