Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
140,2012,Donte' Stallworth (FA),1,2,63,63.0,63,1,1,0,0,0,0,1,12.3,12.3,0.0%
91,2011,Donte' Stallworth (FA),22,38,309,14.0,51,0,2,2,1,0,0,11,43.0,3.9,0.0%
139,2010,Donte' Stallworth (FA),2,5,82,41.0,67,0,0,5,45,0,1,8,10.7,1.3,0.0%
102,2008,Donte' Stallworth (FA),17,10,170,10.0,19,0,1,1,-4,0,0,11,22.6,2.1,0.0%
27,2007,Donte' Stallworth (FA),46,0,697,15.2,69,0,3,1,12,0,0,16,88.9,5.6,0.0%
35,2006,Donte' Stallworth (FA),38,0,725,19.1,84,0,5,0,0,0,0,12,102.5,8.5,0.0%
20,2005,Donte' Stallworth (FA),70,0,945,13.5,43,0,7,2,2,0,0,16,136.7,8.5,0.0%
34,2004,Donte' Stallworth (FA),58,106,767,13.2,45,0,5,6,37,0,0,16,110.4,6.9,0.0%
71,2003,Donte' Stallworth (FA),25,55,485,19.4,76,0,3,1,3,0,1,11,64.8,5.9,0.0%
35,2002,Donte' Stallworth (FA),42,69,594,14.1,57,0,8,2,2,0,0,13,107.6,8.3,0.0%
