Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
57,2015,Marques Colston (FA),45,67,520,11.6,53,6,4,0,0,0,0,13,76.0,5.8,0.0%
33,2014,Marques Colston (FA),59,99,902,15.3,57,17,5,0,0,0,1,16,118.2,7.4,0.0%
28,2013,Marques Colston (FA),75,110,943,12.6,35,13,5,0,0,0,0,15,124.3,8.3,0.0%
11,2012,Marques Colston (FA),83,130,"1,154",13.9,60,15,10,0,0,0,2,16,171.4,10.7,0.0%
12,2011,Marques Colston (FA),80,107,"1,143",14.3,50,0,8,0,0,0,1,14,160.3,11.5,0.0%
18,2010,Marques Colston (FA),84,132,"1,023",12.2,43,0,7,1,1,0,0,15,144.4,9.6,0.0%
13,2009,Marques Colston (FA),70,107,"1,074",15.3,68,0,9,1,6,0,2,16,158.0,9.9,0.0%
29,2008,Marques Colston (FA),47,12,760,16.2,70,0,5,0,0,0,0,11,106.0,9.6,0.0%
4,2007,Marques Colston (FA),98,21,"1,202",12.3,45,0,11,0,0,0,0,16,186.2,11.6,0.0%
14,2006,Marques Colston (FA),70,0,"1,038",14.8,86,0,8,0,0,0,0,14,151.8,10.8,0.0%
