Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
187,2019,Michael Crabtree (FA),4,5,22,5.5,9,0,0,0,0,0,0,3,2.2,0.7,0.0%
60,2018,Michael Crabtree (FA),54,100,607,11.2,27,6,3,0,0,0,0,16,78.7,4.9,0.0%
28,2017,Michael Crabtree (FA),58,101,618,10.7,41,8,8,0,0,0,0,14,113.8,8.1,0.0%
11,2016,Michael Crabtree (FA),89,145,"1,003",11.3,56,10,8,0,0,0,0,16,150.3,9.4,0.0%
19,2015,Michael Crabtree (FA),85,146,922,10.8,38,15,9,0,0,0,0,16,146.2,9.1,0.0%
52,2014,Michael Crabtree (FA),68,108,698,10.3,51,10,4,1,4,0,0,16,94.2,5.9,0.0%
108,2013,Michael Crabtree (FA),19,33,284,14.9,60,3,1,0,0,0,0,5,34.4,6.9,0.0%
14,2012,Michael Crabtree (FA),85,126,"1,105",13.0,49,15,9,1,8,0,0,16,165.3,10.3,0.0%
34,2011,Michael Crabtree (FA),72,114,874,12.1,52,1,4,1,6,0,0,15,114.0,7.6,0.0%
33,2010,Michael Crabtree (FA),55,101,741,13.5,60,0,6,0,0,0,0,16,110.1,6.9,0.0%
65,2009,Michael Crabtree (FA),48,86,625,13.0,50,0,2,0,0,0,1,11,72.5,6.6,0.0%
