Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
73,2012,Randy Moss (FA),28,50,434,15.5,55,7,3,0,0,0,0,16,61.4,3.8,0.0%
65,2010,Randy Moss (FA),28,63,393,14.0,37,0,5,0,0,0,0,13,69.3,5.3,0.0%
2,2009,Randy Moss (FA),83,137,"1,264",15.2,71,0,13,0,0,0,1,16,204.4,12.8,0.0%
13,2008,Randy Moss (FA),57,18,845,14.8,76,0,10,2,0,0,0,13,144.5,11.1,0.0%
8,2007,Randy Moss (FA),56,0,924,16.5,55,0,12,0,0,0,0,9,164.4,18.3,0.0%
56,2006,Randy Moss (FA),42,0,553,13.2,51,0,3,0,0,0,0,12,73.3,6.1,0.0%
15,2005,Randy Moss (FA),60,0,"1,005",16.8,79,0,8,0,0,0,0,15,148.5,9.9,0.0%
19,2004,Randy Moss (FA),49,86,767,15.7,82,0,13,0,0,0,1,12,152.2,12.7,0.0%
1,2003,Randy Moss (FA),111,172,"1,632",14.7,72,0,17,6,18,0,1,16,265.0,16.6,0.0%
5,2002,Randy Moss (FA),106,184,"1,347",12.7,60,0,7,6,51,0,1,16,184.3,11.5,0.0%
