Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
191,2021,A.J. Bouye (FA),23,5,0.0,3,0,1,0,0,12,51.9,4.3,0.1%
211,2020,A.J. Bouye (FA),21,2,0.0,6,0,0,0,0,7,42.1,6.0,0.1%
78,2019,A.J. Bouye (FA),50,15,0.0,8,1,0,0,0,14,106.1,7.6,0.1%
112,2018,A.J. Bouye (FA),46,8,0.0,8,1,0,0,0,13,92.3,7.1,0.1%
36,2017,A.J. Bouye (FA),53,3,0.0,18,6,0,0,0,16,138.9,8.7,0.1%
60,2016,A.J. Bouye (FA),48,14,1.0,16,1,0,0,0,15,120.9,8.1,0.1%
198,2015,A.J. Bouye (FA),14,0,0.0,6,2,0,0,0,15,40.0,2.7,0.1%
59,2014,A.J. Bouye (FA),47,7,0.0,10,3,1,1,1,14,122.5,8.8,0.1%
356,2013,A.J. Bouye (FA),0,0,0.0,0,0,0,0,0,6,0.0,0.0,0.1%
321,2012,A.J. Davis (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
222,2021,A.J. Green (CLE),9,4,0.0,6,1,0,1,0,10,34.6,3.5,0.0%
388,2020,A.J. Green (CLE),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
388,2016,A.J. Hendy (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
262,2013,A.J. Jefferson (FA),2,0,0.0,1,1,0,0,0,10,9.5,1.0,0.0%
149,2012,A.J. Jefferson (FA),33,3,0.0,5,0,0,1,0,15,63.4,4.2,0.0%
67,2011,A.J. Jefferson (FA),59,6,0.0,12,1,0,0,0,16,118.7,7.4,0.0%
288,2010,A.J. Jefferson (FA),0,0,0.0,1,0,0,0,0,2,1.5,0.8,0.0%
362,2021,A.J. Moore Jr. (TEN),0,2,0.0,0,0,0,0,0,7,1.6,0.2,0.0%
194,2020,A.J. Moore Jr. (TEN),18,13,1.0,1,0,1,0,0,11,49.0,4.5,0.0%
318,2019,A.J. Moore Jr. (TEN),2,0,0.0,0,0,0,0,0,16,5.5,0.3,0.0%
371,2018,A.J. Moore Jr. (TEN),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
27,2021,A.J. Terrell (ATL),52,29,1.0,16,3,1,0,0,16,154.8,9.7,16.8%
42,2020,A.J. Terrell (ATL),61,13,0.0,7,1,3,0,0,14,136.7,9.8,16.8%
534,2021,A.J. Thomas (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
125,2004,Aaron Beasley (FA),16,2,1.0,7,4,2,0,0,12,73.1,6.1,0.0%
66,2003,Aaron Beasley (FA),46,15,0.0,12,3,1,1,0,16,126.6,7.9,0.0%
63,2002,Aaron Beasley (FA),59,7,0.0,14,2,0,0,0,15,130.0,8.7,0.0%
364,2014,Aaron Berry (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
350,2012,Aaron Berry (FA),0,0,0.0,0,0,0,0,0,7,0.0,0.0,0.0%
158,2011,Aaron Berry (FA),25,5,0.0,11,0,0,0,0,11,57.8,5.3,0.0%
243,2010,Aaron Berry (FA),3,0,0.0,1,1,0,0,0,1,11.0,11.0,0.0%
252,2019,Aaron Colvin (FA),13,2,0.0,1,0,0,0,0,7,22.6,3.2,0.0%
195,2018,Aaron Colvin (FA),22,7,0.0,1,0,0,2,0,10,47.9,4.8,0.0%
131,2017,Aaron Colvin (FA),37,7,0.0,5,0,0,1,0,16,82.5,5.2,0.0%
213,2016,Aaron Colvin (FA),18,4,1.0,0,0,0,0,0,10,39.1,3.9,0.0%
32,2015,Aaron Colvin (FA),60,13,4.0,7,0,1,0,0,16,145.6,9.1,0.0%
186,2014,Aaron Colvin (FA),21,4,0.0,2,0,0,1,1,6,47.7,8.0,0.0%
123,2010,Aaron Francisco (FA),42,14,0.0,3,2,0,0,0,12,95.7,8.0,0.0%
233,2009,Aaron Francisco (FA),9,0,0.0,0,0,0,0,0,8,13.5,1.7,0.0%
167,2008,Aaron Francisco (FA),24,3,0.0,0,0,0,0,0,10,38.3,3.8,0.0%
205,2007,Aaron Francisco (FA),6,0,0.0,0,0,0,0,0,7,9.0,1.3,0.0%
148,2006,Aaron Francisco (FA),23,5,0.0,3,2,0,0,0,16,52.9,3.3,0.0%
268,2005,Aaron Francisco (FA),0,1,0.0,0,0,0,0,0,7,0.8,0.1,0.0%
239,2008,Aaron Glenn (FA),4,0,0.0,0,0,0,0,0,2,6.0,3.0,0.0%
159,2007,Aaron Glenn (FA),9,2,0.0,1,1,0,0,1,2,27.5,13.8,0.0%
158,2006,Aaron Glenn (FA),20,2,0.0,7,1,0,0,0,12,47.1,3.9,0.0%
103,2005,Aaron Glenn (FA),29,3,0.0,13,4,0,0,0,15,85.4,5.7,0.0%
51,2004,Aaron Glenn (FA),56,8,0.0,14,5,1,0,0,15,140.2,9.3,0.0%
128,2003,Aaron Glenn (FA),29,6,0.0,12,1,0,0,0,11,71.0,6.5,0.0%
25,2002,Aaron Glenn (FA),56,11,1.0,18,5,0,0,2,16,163.0,10.2,0.0%
371,2016,Aaron Grymes (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
219,2021,Aaron Robinson (NYG),16,10,0.0,3,0,0,0,0,7,36.2,5.2,2.1%
232,2013,Aaron Ross (FA),4,0,0.0,5,1,0,0,0,4,18.5,4.6,0.0%
141,2012,Aaron Ross (FA),37,9,0.0,3,0,0,0,0,14,69.5,5.0,0.0%
65,2011,Aaron Ross (FA),46,14,0.0,12,4,0,0,0,16,120.4,7.5,0.0%
155,2010,Aaron Ross (FA),25,11,1.0,4,0,0,0,0,15,63.6,4.2,0.0%
231,2009,Aaron Ross (FA),8,2,0.0,0,0,0,0,0,4,13.6,3.4,0.0%
57,2008,Aaron Ross (FA),46,6,0.0,8,3,0,0,1,15,116.6,7.8,0.0%
43,2007,Aaron Ross (FA),35,7,1.5,9,3,0,0,1,15,98.4,6.6,0.0%
109,2009,Aaron Rouse (FA),47,15,1.0,4,0,0,0,0,14,99.5,7.1,0.0%
142,2008,Aaron Rouse (FA),20,6,0.0,3,2,0,0,1,10,57.6,5.8,0.0%
222,2007,Aaron Rouse (FA),3,0,0.0,0,0,0,0,0,3,4.5,1.5,0.0%
206,2016,Aaron Williams (FA),13,7,0.0,5,0,0,1,1,7,44.9,6.4,0.0%
233,2015,Aaron Williams (FA),9,6,0.0,3,1,0,0,0,3,27.5,9.2,0.0%
77,2014,Aaron Williams (FA),51,25,0.0,5,1,0,0,0,15,113.1,7.5,0.0%
22,2013,Aaron Williams (FA),60,22,0.0,11,4,1,0,0,14,152.4,10.9,0.0%
166,2012,Aaron Williams (FA),24,8,0.0,7,0,0,0,0,11,52.7,4.8,0.0%
150,2011,Aaron Williams (FA),27,3,0.0,5,1,1,0,0,9,59.4,6.6,0.0%
164,2012,Abram Elam (FA),29,6,0.0,2,0,0,0,0,9,53.6,6.0,0.0%
86,2011,Abram Elam (FA),51,14,0.0,0,0,1,1,0,15,105.3,7.0,0.0%
30,2010,Abram Elam (FA),63,14,2.0,10,2,2,2,1,16,167.7,10.5,0.0%
43,2009,Abram Elam (FA),72,17,1.0,2,0,1,1,0,16,143.5,9.0,0.0%
52,2008,Abram Elam (FA),42,18,2.0,3,1,3,0,1,12,119.7,10.0,0.0%
152,2007,Abram Elam (FA),16,6,0.0,0,0,0,0,0,3,31.1,10.4,0.0%
321,2006,Abram Elam (FA),0,0,0.0,0,0,0,0,0,10,0.0,0.0,0.0%
304,2016,Adairius Barnes (FA),3,1,0.0,0,0,0,0,0,7,5.3,0.8,0.0%
82,2007,Adam Archuleta (FA),33,5,1.0,1,1,0,1,0,7,67.8,9.7,0.0%
128,2006,Adam Archuleta (FA),40,8,1.0,1,0,0,0,0,14,71.7,5.1,0.0%
55,2005,Adam Archuleta (FA),53,16,3.5,4,1,0,1,1,13,126.8,9.8,0.0%
35,2004,Adam Archuleta (FA),70,13,2.0,3,0,1,1,1,15,156.6,10.4,0.0%
12,2003,Adam Archuleta (FA),71,7,5.0,7,1,1,1,1,13,181.5,14.0,0.0%
6,2002,Adam Archuleta (FA),94,14,2.5,5,1,0,1,0,16,190.8,11.9,0.0%
392,2019,Adam Jones (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
244,2018,Adam Jones (FA),9,0,0.0,3,1,0,0,0,7,28.0,4.0,0.0%
198,2017,Adam Jones (FA),19,4,0.0,4,1,0,0,0,9,42.7,4.7,0.0%
82,2016,Adam Jones (FA),54,12,0.0,7,1,1,0,0,16,109.9,6.9,0.0%
41,2015,Adam Jones (FA),53,9,1.0,12,3,1,0,0,14,130.0,9.3,0.0%
62,2014,Adam Jones (FA),51,12,0.0,11,3,0,1,0,16,121.2,7.6,0.0%
56,2013,Adam Jones (FA),43,12,0.0,12,3,1,2,1,16,129.7,8.1,0.0%
122,2012,Adam Jones (FA),32,5,1.0,9,0,1,0,0,16,78.5,4.9,0.0%
169,2011,Adam Jones (FA),26,2,0.0,6,0,0,0,0,8,52.1,6.5,0.0%
172,2010,Adam Jones (FA),11,3,0.0,3,1,1,2,1,5,46.4,9.3,0.0%
131,2008,Adam Jones (FA),26,5,0.0,7,0,1,1,0,9,61.4,6.8,0.0%
42,2006,Adam Jones (FA),51,12,1.0,12,4,1,0,1,15,137.8,9.2,0.0%
98,2005,Adam Jones (FA),43,9,0.0,11,0,0,0,0,15,88.0,5.9,0.0%
307,2006,Ade Jimoh (FA),8,0,0.0,3,0,0,1,0,10,0.0,0.0,0.0%
