Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
47,2021,A'Shawn Robinson (LAR),33,34,2.0,0,0,2,0,0,16,96.4,6.0,1.6%
234,2020,A'Shawn Robinson (LAR),6,6,0.0,1,0,0,0,0,8,15.2,1.9,1.6%
63,2019,A'Shawn Robinson (LAR),32,8,1.5,3,0,1,2,0,13,84.2,6.5,1.6%
72,2018,A'Shawn Robinson (LAR),34,15,1.0,0,0,1,1,0,13,82.0,6.3,1.6%
46,2017,A'Shawn Robinson (LAR),32,21,0.5,6,1,1,0,1,16,100.1,6.3,1.6%
78,2016,A'Shawn Robinson (LAR),22,8,2.0,7,0,0,0,0,16,72.6,4.5,1.6%
205,2021,A.J. Epenesa (BUF),8,6,1.5,1,0,0,0,0,14,29.2,2.1,0.1%
175,2020,A.J. Epenesa (BUF),11,3,1.0,1,0,0,0,0,14,31.8,2.3,0.1%
222,2017,A.J. Francis (FA),5,13,0.0,0,0,0,0,0,6,17.4,2.9,0.0%
279,2015,A.J. Francis (FA),1,1,0.0,0,0,0,0,0,3,2.3,0.8,0.0%
320,2006,A.J. Schable (FA),0,0,0.0,0,0,0,0,0,7,0.0,0.0,0.0%
344,2020,Aaron Adeoye (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.0%
329,2020,Aaron Crawford (FA),0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%
1,2021,Aaron Donald (LAR),38,46,12.5,4,0,4,0,0,17,211.4,12.4,70.1%
3,2020,Aaron Donald (LAR),27,18,13.5,1,0,4,1,0,16,165.0,10.3,70.1%
6,2019,Aaron Donald (LAR),29,19,12.5,2,0,2,1,0,16,173.2,10.8,70.1%
1,2018,Aaron Donald (LAR),41,18,20.5,1,0,4,2,0,16,245.5,15.3,70.1%
10,2017,Aaron Donald (LAR),32,9,11.0,1,0,5,1,0,14,162.0,11.6,70.1%
7,2016,Aaron Donald (LAR),36,11,8.0,5,0,2,0,0,16,152.6,9.5,70.1%
2,2015,Aaron Donald (LAR),44,25,11.0,1,0,0,1,0,16,193.2,12.1,70.1%
14,2014,Aaron Donald (LAR),38,10,9.0,1,0,2,0,0,16,155.2,9.7,70.1%
348,2020,Aaron Lynch (FA),5,1,1.0,1,0,0,0,0,8,0.0,0.0,0.0%
308,2019,Aaron Lynch (FA),4,2,2.0,2,0,0,0,0,16,0.0,0.0,0.0%
289,2018,Aaron Lynch (FA),13,3,3.0,1,1,0,0,0,13,0.0,0.0,0.0%
302,2017,Aaron Lynch (FA),5,4,1.0,0,0,0,1,0,7,0.0,0.0,0.0%
300,2016,Aaron Lynch (FA),12,1,1.5,0,0,0,0,0,7,0.0,0.0,0.0%
273,2015,Aaron Lynch (FA),30,8,6.5,3,0,0,0,0,14,3.1,0.2,0.0%
319,2014,Aaron Lynch (FA),17,6,6.0,4,0,0,0,0,16,0.0,0.0,0.0%
231,2012,Aaron Morgan (FA),2,0,0.0,0,0,0,0,0,11,5.5,0.5,0.0%
252,2010,Aaron Morgan (FA),2,0,0.0,0,0,0,0,0,7,3.0,0.4,0.0%
311,2021,Aaron Patrick (DEN),3,0,0.0,0,0,0,0,0,7,4.5,0.6,0.0%
2,2009,Aaron Schobel (FA),34,22,10.0,4,1,3,1,1,16,183.6,11.5,0.0%
210,2008,Aaron Schobel (FA),3,1,0.0,1,0,0,0,0,1,9.3,9.3,0.0%
36,2007,Aaron Schobel (FA),18,11,2.5,3,0,3,0,0,8,64.5,8.1,0.0%
4,2006,Aaron Schobel (FA),35,18,14.0,3,0,3,1,0,15,142.7,9.5,0.0%
3,2005,Aaron Schobel (FA),54,17,12.0,5,1,2,1,0,16,166.6,10.4,0.0%
6,2004,Aaron Schobel (FA),46,27,8.0,4,0,5,3,0,16,187.2,11.7,0.0%
5,2003,Aaron Schobel (FA),37,23,11.5,3,1,1,1,0,16,176.6,11.0,0.0%
19,2002,Aaron Schobel (FA),34,18,8.5,4,0,1,0,0,16,138.9,8.7,0.0%
228,2011,Aaron Smith (FA),3,5,0.0,0,0,0,0,0,4,8.4,2.1,0.0%
203,2010,Aaron Smith (FA),7,8,0.0,0,0,0,0,0,6,19.1,3.2,0.0%
179,2009,Aaron Smith (FA),6,3,2.0,0,0,0,0,0,4,29.4,7.4,0.0%
28,2008,Aaron Smith (FA),35,11,3.5,4,0,0,0,0,12,96.1,8.0,0.0%
110,2007,Aaron Smith (FA),12,4,1.5,0,0,0,1,0,6,31.1,5.2,0.0%
13,2006,Aaron Smith (FA),46,18,4.5,2,0,1,1,0,15,111.8,7.5,0.0%
46,2005,Aaron Smith (FA),30,10,2.0,3,1,1,1,0,14,88.2,6.3,0.0%
22,2004,Aaron Smith (FA),31,13,8.0,1,0,3,2,0,15,135.1,9.0,0.0%
50,2003,Aaron Smith (FA),36,9,2.0,7,0,1,0,0,16,103.5,6.5,0.0%
7,2002,Aaron Smith (FA),53,17,5.5,2,0,0,3,0,16,164.5,10.3,0.0%
334,2021,Abdullah Anderson (ATL),1,1,0.0,0,0,0,0,0,4,2.3,0.6,0.0%
393,2020,Abdullah Anderson (ATL),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
230,2019,Abdullah Anderson (ATL),3,1,1.0,0,0,0,0,0,6,11.8,2.0,0.0%
269,2020,Abry Jones (FA),4,4,0.0,0,0,0,0,0,5,9.1,1.8,0.0%
141,2019,Abry Jones (FA),15,16,2.0,0,0,0,1,0,16,49.4,3.1,0.0%
112,2018,Abry Jones (FA),21,8,1.0,2,0,0,0,0,15,57.3,3.8,0.0%
95,2017,Abry Jones (FA),24,7,1.0,6,0,1,1,0,15,64.9,4.3,0.0%
106,2016,Abry Jones (FA),26,6,0.0,1,0,0,0,0,15,55.3,3.7,0.0%
137,2015,Abry Jones (FA),8,9,2.0,2,0,1,1,0,15,45.4,3.0,0.0%
76,2014,Abry Jones (FA),23,16,3.0,1,0,1,0,0,16,74.2,4.6,0.0%
210,2013,Abry Jones (FA),8,1,0.5,0,0,0,0,0,8,14.8,1.9,0.0%
185,2021,Adam Butler (FA),9,8,2.0,3,0,0,0,0,15,37.3,2.5,0.1%
76,2020,Adam Butler (FA),18,16,4.0,2,0,0,0,0,15,73.4,4.9,0.1%
64,2019,Adam Butler (FA),17,9,6.0,5,0,0,0,0,16,84.0,5.3,0.1%
121,2018,Adam Butler (FA),9,9,3.0,2,0,2,0,0,16,53.4,3.3,0.1%
169,2017,Adam Butler (FA),11,8,2.0,0,0,0,0,0,16,35.8,2.2,0.1%
250,2012,Adam Carriker (FA),1,0,0.0,0,0,0,0,0,2,1.5,0.8,0.0%
82,2011,Adam Carriker (FA),18,15,5.5,0,0,0,0,0,16,70.7,4.4,0.0%
89,2010,Adam Carriker (FA),22,15,1.5,1,0,0,1,0,16,68.5,4.3,0.0%
121,2008,Adam Carriker (FA),22,1,0.0,0,0,0,1,0,15,45.3,3.0,0.0%
56,2007,Adam Carriker (FA),21,9,2.0,2,0,0,1,0,16,55.9,3.5,0.0%
286,2011,Adam Goldberg (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
298,2010,Adam Goldberg (FA),0,0,0.0,0,0,0,0,0,3,0.0,0.0,0.0%
302,2009,Adam Goldberg (FA),0,0,0.0,0,0,0,0,0,6,0.0,0.0,0.0%
298,2008,Adam Goldberg (FA),0,0,0.0,0,0,0,0,0,3,0.0,0.0,0.0%
299,2007,Adam Goldberg (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
323,2006,Adam Goldberg (FA),0,0,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
338,2005,Adam Goldberg (FA),0,0,0.0,0,0,0,0,0,6,0.0,0.0,0.0%
353,2004,Adam Goldberg (FA),0,0,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
121,2021,Adam Gotsis (JAC),20,7,3.0,0,0,0,0,0,14,62.5,4.5,0.6%
96,2020,Adam Gotsis (JAC),18,19,0.0,3,0,1,0,0,16,60.2,3.8,0.6%
193,2019,Adam Gotsis (JAC),11,5,0.0,2,0,0,0,0,9,25.9,2.9,0.6%
61,2018,Adam Gotsis (JAC),25,13,3.0,6,0,2,1,0,16,90.6,5.7,0.6%
68,2017,Adam Gotsis (JAC),28,13,2.0,4,0,0,1,0,16,80.0,5.0,0.6%
209,2016,Adam Gotsis (JAC),5,9,0.0,1,0,0,1,0,16,20.8,1.3,0.6%
347,2005,Adam Haayer (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
355,2004,Adam Haayer (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
304,2010,Adam Koets (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
304,2008,Adam Koets (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
265,2006,Adam Meadows (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
262,2003,Adam Meadows (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
270,2002,Adam Meadows (FA),0,0,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
289,2010,Adam Terry (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
287,2008,Adam Terry (FA),0,0,0.0,0,0,0,0,0,3,0.0,0.0,0.0%
284,2007,Adam Terry (FA),0,0,0.0,0,0,0,0,0,3,0.0,0.0,0.0%
312,2006,Adam Terry (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
310,2005,Adam Terry (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
426,2021,Adedayo Odeleye (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
125,2021,Adetokunbo Ogundeji (ARI),18,14,1.0,1,0,0,1,0,15,59.8,4.0,0.0%
255,2010,Adewale Ogunleye (FA),1,1,0.0,0,0,0,0,0,3,2.3,0.8,0.0%
28,2009,Adewale Ogunleye (FA),26,12,6.5,0,0,1,3,0,14,107.9,7.7,0.0%
12,2008,Adewale Ogunleye (FA),34,13,5.0,5,1,0,0,0,12,113.7,9.5,0.0%
43,2007,Adewale Ogunleye (FA),23,2,4.0,2,0,1,0,0,8,59.1,7.4,0.0%
28,2006,Adewale Ogunleye (FA),29,14,6.5,2,0,1,3,0,14,99.3,7.1,0.0%
14,2005,Adewale Ogunleye (FA),36,4,10.0,5,0,1,1,0,14,120.1,8.6,0.0%
44,2004,Adewale Ogunleye (FA),29,9,5.0,2,0,3,1,0,11,107.0,9.7,0.0%
3,2003,Adewale Ogunleye (FA),43,21,15.0,5,0,2,1,0,16,207.6,13.0,0.0%
13,2002,Adewale Ogunleye (FA),33,12,9.5,3,0,3,2,0,15,146.4,9.8,0.0%
312,2012,Adewale Ojomo (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
214,2018,Adolphus Washington (FA),4,4,1.0,0,0,0,0,0,5,15.6,3.1,0.0%
110,2017,Adolphus Washington (FA),22,11,1.0,2,0,0,0,0,15,61.0,4.1,0.0%
127,2016,Adolphus Washington (FA),12,9,2.5,1,0,0,0,0,15,46.3,3.1,0.0%
263,2011,Adrian Awasom (FA),0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%
200,2006,Adrian Awasom (FA),7,1,1.0,0,0,0,0,0,7,15.3,2.2,0.0%
299,2005,Adrian Awasom (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
152,2020,Adrian Clayborn (FA),6,6,3.5,1,0,1,0,0,15,40.7,2.7,0.0%
125,2019,Adrian Clayborn (FA),12,6,4.0,0,0,2,0,0,15,56.8,3.8,0.0%
161,2018,Adrian Clayborn (FA),9,2,2.5,0,0,1,0,0,14,36.6,2.6,0.0%
43,2017,Adrian Clayborn (FA),17,4,9.5,0,0,2,2,1,16,103.7,6.5,0.0%
71,2016,Adrian Clayborn (FA),19,3,4.5,0,0,0,1,1,13,78.8,6.1,0.0%
132,2015,Adrian Clayborn (FA),14,1,3.0,0,0,0,1,0,16,47.8,3.0,0.0%
261,2014,Adrian Clayborn (FA),1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.0%
10,2013,Adrian Clayborn (FA),43,21,5.5,1,0,2,0,0,16,157.2,9.8,0.0%
234,2012,Adrian Clayborn (FA),1,1,0.0,0,0,0,0,0,3,4.8,1.6,0.0%
32,2011,Adrian Clayborn (FA),29,13,7.5,0,0,3,0,0,16,113.1,7.1,0.0%
183,2004,Adrian Dingle (FA),3,3,1.0,1,1,0,0,0,6,22.3,3.7,0.0%
35,2003,Adrian Dingle (FA),31,6,6.0,1,0,2,1,0,14,118.7,8.5,0.0%
93,2002,Adrian Dingle (FA),24,1,4.0,0,0,0,1,0,10,76.8,7.7,0.0%
303,2008,Adrian Jones (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
349,2005,Adrian Jones (FA),0,0,0.0,0,0,0,0,0,8,0.0,0.0,0.0%
317,2004,Adrian Jones (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
303,2005,Adrian Klemm (FA),0,0,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
352,2004,Adrian Klemm (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
331,2003,Adrian Klemm (FA),0,0,0.0,0,0,0,0,0,3,0.0,0.0,0.0%
334,2002,Adrian Klemm (FA),0,0,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
333,2017,Ahmad Brooks (FA),13,6,1.5,2,0,0,0,0,12,0.0,0.0,0.0%
321,2016,Ahmad Brooks (FA),41,12,6.0,4,0,1,0,0,16,0.0,0.0,0.0%
330,2015,Ahmad Brooks (FA),28,14,6.5,1,0,0,1,0,14,0.0,0.0,0.0%
300,2014,Ahmad Brooks (FA),25,5,6.0,3,0,1,1,0,13,0.0,0.0,0.0%
281,2013,Ahmad Brooks (FA),52,8,8.5,7,1,1,0,0,16,0.0,0.0,0.0%
276,2012,Ahmad Brooks (FA),36,12,6.5,6,1,2,0,1,16,0.0,0.0,0.0%
321,2011,Ahmad Brooks (FA),35,15,7.0,3,0,1,0,0,16,0.0,0.0,0.0%
333,2010,Ahmad Brooks (FA),24,2,5.0,2,1,0,0,0,15,0.0,0.0,0.0%
323,2009,Ahmad Brooks (FA),15,1,6.0,2,0,5,0,0,14,0.0,0.0,0.0%
312,2007,Ahmad Brooks (FA),5,1,1.0,0,0,1,0,0,2,0.0,0.0,0.0%
356,2006,Ahmad Brooks (FA),20,9,1.0,2,0,0,0,0,10,0.0,0.0,0.0%
290,2019,Ahmad Gooden (FA),1,0,0.0,0,0,0,0,0,3,1.5,0.5,1.2%
226,2017,Ahtyba Rubin (FA),7,8,0.0,0,0,0,0,0,12,16.7,1.4,0.0%
66,2016,Ahtyba Rubin (FA),25,14,1.0,1,0,3,0,0,16,80.7,5.0,0.0%
98,2015,Ahtyba Rubin (FA),20,16,2.0,1,1,0,0,0,16,61.8,3.9,0.0%
161,2014,Ahtyba Rubin (FA),14,14,1.0,1,0,0,0,0,13,39.7,3.1,0.0%
88,2013,Ahtyba Rubin (FA),25,27,2.0,0,0,0,0,0,14,73.7,5.3,0.0%
67,2012,Ahtyba Rubin (FA),30,14,2.0,2,0,2,0,0,13,85.0,6.5,0.0%
23,2011,Ahtyba Rubin (FA),56,27,5.0,0,0,0,0,0,16,134.6,8.4,0.0%
19,2010,Ahtyba Rubin (FA),57,25,2.0,2,1,0,0,0,16,125.5,7.8,0.0%
130,2009,Ahtyba Rubin (FA),23,15,0.0,0,0,1,0,0,16,50.0,3.1,0.0%
189,2008,Ahtyba Rubin (FA),7,4,0.0,0,0,0,1,0,11,20.2,1.8,0.0%
464,2021,Aidan Hutchinson (DET),0,0,0.0,0,0,0,0,0,0,0.0,0.0,15.2%
351,2021,Akeem Spence (SF),0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%
270,2020,Akeem Spence (SF),3,6,0.0,0,0,0,0,0,6,9.1,1.5,0.0%
200,2019,Akeem Spence (SF),14,4,0.0,0,0,0,0,0,16,24.1,1.5,0.0%
95,2018,Akeem Spence (SF),23,19,2.0,0,0,0,0,0,16,72.2,4.5,0.0%
85,2017,Akeem Spence (SF),19,20,3.0,0,0,1,0,0,16,70.0,4.4,0.0%
180,2016,Akeem Spence (SF),10,9,0.5,0,0,0,0,0,16,28.9,1.8,0.0%
209,2015,Akeem Spence (SF),8,3,1.0,0,0,0,0,0,8,20.9,2.6,0.0%
68,2014,Akeem Spence (SF),27,10,3.0,0,0,0,2,0,16,78.3,4.9,0.0%
124,2013,Akeem Spence (SF),19,10,1.0,0,0,0,1,0,16,49.3,3.1,0.0%
240,2005,Aki Jones (FA),1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%
443,2021,Akial Byers (GB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
126,2021,Akiem Hicks (TB),19,6,3.5,0,0,0,0,0,9,59.7,6.6,0.8%
39,2020,Akiem Hicks (TB),30,19,3.5,1,0,0,1,0,15,96.7,6.4,0.8%
195,2019,Akiem Hicks (TB),10,0,1.0,0,0,0,1,0,5,25.5,5.1,0.8%
15,2018,Akiem Hicks (TB),41,14,7.5,5,0,3,0,0,16,151.7,9.5,0.8%
17,2017,Akiem Hicks (TB),39,15,8.5,0,0,0,2,0,16,149.6,9.4,0.8%
16,2016,Akiem Hicks (TB),36,18,7.0,2,0,2,1,0,16,138.4,8.7,0.8%
109,2015,Akiem Hicks (TB),9,14,3.0,0,0,0,1,1,16,58.8,3.7,0.8%
70,2014,Akiem Hicks (TB),27,14,2.0,0,0,0,0,0,15,76.8,5.1,0.8%
50,2013,Akiem Hicks (TB),29,27,4.5,0,0,0,0,0,16,102.2,6.4,0.8%
154,2012,Akiem Hicks (TB),10,10,0.0,1,0,1,0,0,14,33.3,2.4,0.8%
135,2006,Al Wallace (FA),17,6,3.0,1,0,0,0,0,13,43.8,3.4,0.0%
64,2005,Al Wallace (FA),20,5,5.0,3,2,1,1,0,13,76.5,5.9,0.0%
117,2004,Al Wallace (FA),20,2,1.0,0,0,2,1,0,12,57.6,4.8,0.0%
47,2003,Al Wallace (FA),28,8,5.0,5,2,0,1,0,14,109.8,7.8,0.0%
80,2002,Al Wallace (FA),22,4,3.0,2,0,1,2,1,13,84.2,6.5,0.0%
84,2021,Al Woods (SEA),26,24,1.5,3,0,0,0,0,16,77.9,4.9,0.1%
128,2019,Al Woods (SEA),16,16,1.0,0,0,0,2,0,14,55.8,4.0,0.1%
179,2018,Al Woods (SEA),10,14,0.0,1,0,0,0,0,14,29.7,2.1,0.1%
96,2017,Al Woods (SEA),20,24,1.0,0,0,0,0,0,16,64.8,4.1,0.1%
179,2016,Al Woods (SEA),14,4,0.0,0,0,0,0,0,12,29.1,2.4,0.1%
172,2015,Al Woods (SEA),14,8,0.0,0,0,0,0,0,14,34.7,2.5,0.1%
153,2014,Al Woods (SEA),13,13,1.0,0,0,0,0,0,16,41.1,2.6,0.1%
160,2013,Al Woods (SEA),8,8,2.0,2,0,0,0,0,16,31.6,2.0,0.1%
