Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
299,2014,A.J. Edds (FA),0,0,0.0,0,0,0,0,0,6,0.0,0.0,0.0%
202,2011,A.J. Edds (FA),2,8,0.0,0,0,0,0,0,11,9.1,0.8,0.0%
286,2016,A.J. Hawk (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
153,2015,A.J. Hawk (FA),16,8,1.0,0,0,0,0,0,16,39.3,2.5,0.0%
70,2014,A.J. Hawk (FA),54,35,0.5,2,0,0,0,0,16,115.1,7.2,0.0%
19,2013,A.J. Hawk (FA),74,44,5.0,5,1,1,1,0,16,217.3,13.6,0.0%
31,2012,A.J. Hawk (FA),81,39,3.0,0,0,0,0,0,16,185.6,11.6,0.0%
67,2011,A.J. Hawk (FA),53,31,1.5,3,0,0,0,0,14,123.6,8.8,0.0%
35,2010,A.J. Hawk (FA),71,39,0.5,10,3,0,1,0,16,182.1,11.4,0.0%
53,2009,A.J. Hawk (FA),63,22,1.0,2,2,0,0,0,16,150.9,9.4,0.0%
42,2008,A.J. Hawk (FA),67,19,3.0,1,0,0,0,0,16,138.6,8.7,0.0%
21,2007,A.J. Hawk (FA),77,27,1.0,4,1,1,1,0,16,161.7,10.1,0.0%
13,2006,A.J. Hawk (FA),84,35,3.5,7,2,1,2,0,16,199.2,12.5,0.0%
94,2021,A.J. Klein (FA),27,6,0.0,5,1,0,1,0,11,71.6,6.5,0.1%
42,2020,A.J. Klein (FA),52,21,5.0,4,0,2,1,0,16,144.5,9.0,0.1%
61,2019,A.J. Klein (FA),45,22,2.5,2,1,1,1,1,15,128.7,8.6,0.1%
52,2018,A.J. Klein (FA),42,28,2.0,3,1,0,2,0,16,127.4,8.0,0.1%
78,2017,A.J. Klein (FA),37,17,2.0,4,0,1,0,0,12,101.5,8.5,0.1%
125,2016,A.J. Klein (FA),16,13,1.0,1,0,2,0,0,15,52.6,3.5,0.1%
90,2015,A.J. Klein (FA),34,14,1.0,1,1,1,0,0,15,93.6,6.2,0.1%
134,2014,A.J. Klein (FA),22,13,0.0,0,0,0,0,0,14,47.9,3.4,0.1%
139,2013,A.J. Klein (FA),16,1,2.0,0,0,0,0,0,16,45.3,2.8,0.1%
172,2015,A.J. Tarpley (FA),3,2,1.0,2,2,0,0,0,15,23.1,1.5,0.0%
272,2020,Aaron Adeoye (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.0%
