Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST
150,2011,Aaron Brown (FA),1,0,0.0,0,0,0,1,1,9,9.0,0,0,1,0.9,0.9,0.0%
110,2010,Aaron Brown (FA),17,58,3.4,9,0,0,8,13,45,5.6,0,0,3,10.3,3.4,0.0%
79,2009,Aaron Brown (FA),27,131,4.9,19,0,0,9,15,84,9.3,1,0,15,27.5,1.8,0.0%
174,2016,Aaron Green (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
13,2021,Aaron Jones (GB),171,799,4.7,57,8,4,52,65,391,7.5,6,1,15,177.0,11.8,99.9%
5,2020,Aaron Jones (GB),201,"1,104",5.5,77,17,9,47,63,355,7.6,2,0,14,211.9,15.1,99.9%
3,2019,Aaron Jones (GB),236,"1,084",4.6,56,10,16,49,68,474,9.7,3,2,16,265.8,16.6,99.9%
23,2018,Aaron Jones (GB),133,728,5.5,67,9,8,26,35,206,7.9,1,1,12,145.4,12.1,99.9%
50,2017,Aaron Jones (GB),81,448,5.5,46,6,4,9,18,22,2.4,0,0,12,71.0,5.9,99.9%
128,2017,Aaron Ripkowski (FA),5,13,2.6,4,0,0,7,10,39,5.6,0,0,16,5.2,0.3,0.0%
74,2016,Aaron Ripkowski (FA),34,150,4.4,15,0,2,9,10,46,5.1,1,0,16,37.6,2.4,0.0%
147,2015,Aaron Ripkowski (FA),0,0,0.0,0,0,0,1,1,18,18.0,0,0,15,1.8,0.1,0.0%
121,2009,Aaron Stecker (FA),5,15,3.0,6,0,0,5,5,34,6.8,0,0,5,4.9,1.0,0.0%
91,2008,Aaron Stecker (FA),8,43,5.4,12,0,0,9,0,52,5.8,1,0,6,15.5,2.6,0.0%
79,2007,Aaron Stecker (FA),36,116,3.2,13,0,0,15,1,67,4.5,0,0,8,18.3,2.3,0.0%
86,2006,Aaron Stecker (FA),4,11,2.8,4,0,0,19,0,190,10.0,0,0,11,20.1,1.8,0.0%
52,2005,Aaron Stecker (FA),95,363,3.8,32,0,0,35,0,281,8.0,0,0,14,64.4,4.6,0.0%
61,2004,Aaron Stecker (FA),58,244,4.2,42,0,2,29,38,174,6.0,0,1,14,51.8,3.7,0.0%
90,2003,Aaron Stecker (FA),37,125,3.4,15,0,0,9,12,48,5.3,1,0,15,23.3,1.6,0.0%
92,2002,Aaron Stecker (FA),28,174,6.2,59,0,0,13,16,69,5.3,0,2,16,20.3,1.3,0.0%
145,2021,Adam Prentice (NO),3,5,1.7,2,0,0,3,3,16,5.3,0,0,5,2.1,0.4,0.0%
98,2007,Adimchinobe Echemandu (FA),12,68,5.7,20,0,0,2,2,11,5.5,0,0,2,7.9,4.0,0.0%
159,2006,Adimchinobe Echemandu (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
164,2005,Adimchinobe Echemandu (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
148,2004,Adimchinobe Echemandu (FA),8,25,3.1,6,0,0,3,4,25,8.3,0,1,3,3.0,1.0,0.0%
185,2020,Adrian Killins Jr. (FA),1,-12,-12.0,0,0,0,1,1,2,2.0,0,0,1,-1.0,-1.0,0.0%
106,2003,Adrian Murrell (FA),28,107,3.8,17,0,0,4,4,32,8.0,0,0,3,13.9,4.6,0.0%
97,2021,Adrian Peterson (FA),38,98,2.6,16,0,2,4,4,8,2.0,0,0,4,22.6,5.7,2.1%
33,2020,Adrian Peterson (FA),156,604,3.9,38,5,7,12,18,101,8.4,0,0,16,112.5,7.0,2.1%
28,2019,Adrian Peterson (FA),211,898,4.3,32,7,5,17,23,142,8.4,0,2,16,130.0,8.1,2.1%
16,2018,Adrian Peterson (FA),251,"1,042",4.2,90,13,7,20,26,208,10.4,1,2,16,169.0,10.6,2.1%
54,2017,Adrian Peterson (FA),156,529,3.4,27,2,2,11,19,70,6.4,0,2,10,67.9,6.8,2.1%
125,2016,Adrian Peterson (FA),37,72,1.9,13,0,0,3,6,8,2.7,0,1,3,6.0,2.0,2.1%
2,2015,Adrian Peterson (FA),327,"1,485",4.5,80,10,11,30,36,222,7.4,0,3,16,230.7,14.4,2.1%
122,2014,Adrian Peterson (FA),21,75,3.6,17,0,0,2,3,18,9.0,0,0,1,9.3,9.3,2.1%
8,2013,Adrian Peterson (FA),279,"1,266",4.5,78,8,10,29,40,171,5.9,1,3,14,203.7,14.6,2.1%
1,2012,Adrian Peterson (FA),348,"2,097",6.0,82,27,12,40,51,217,5.4,1,2,16,307.4,19.2,2.1%
7,2011,Adrian Peterson (FA),208,970,4.7,54,0,12,18,23,139,7.7,1,0,12,188.9,15.7,2.1%
2,2010,Adrian Peterson (FA),283,"1,298",4.6,80,0,12,36,50,341,9.5,1,1,15,239.9,16.0,2.1%
2,2009,Adrian Peterson (FA),314,"1,383",4.4,64,0,18,43,57,436,10.1,0,6,16,277.9,17.4,2.1%
116,2009,Adrian Peterson (FA),7,51,7.3,15,0,0,2,2,11,5.5,0,0,11,6.2,0.6,0.0%
2,2008,Adrian Peterson (FA),363,"1,760",4.8,67,0,10,21,4,125,6.0,0,0,16,248.5,15.5,2.1%
93,2008,Adrian Peterson (FA),20,100,5.0,16,0,0,6,3,45,7.5,0,0,9,14.5,1.6,0.0%
