Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST
77,2018,A.J. Derby (FA),3,5,48,16.0,19,0,1,0,0,0,0,4,10.8,2.7,0.0%
42,2017,A.J. Derby (FA),21,40,244,11.6,29,3,2,0,0,0,1,11,34.4,3.1,0.0%
65,2016,A.J. Derby (FA),16,20,160,10.0,17,0,0,0,0,0,1,10,14.0,1.4,0.0%
88,2007,Aaron Halterman (FA),1,0,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%
16,2012,Aaron Hernandez (FA),51,83,483,9.5,31,5,5,1,5,0,0,10,78.8,7.9,0.0%
4,2011,Aaron Hernandez (FA),79,113,910,11.5,46,0,7,5,45,0,1,14,135.5,9.7,0.0%
12,2010,Aaron Hernandez (FA),45,64,563,12.5,46,0,6,3,47,0,0,14,97.0,6.9,0.0%
44,2005,Aaron Shea (FA),18,0,153,8.5,27,0,1,0,0,0,0,9,21.3,2.4,0.0%
24,2004,Aaron Shea (FA),26,48,252,9.7,35,0,4,0,0,0,0,14,49.2,3.5,0.0%
87,2003,Aaron Shea (FA),2,5,9,4.5,7,0,0,0,0,0,0,4,0.9,0.2,0.0%
77,2002,Aaron Shea (FA),7,8,49,7.0,18,0,0,0,0,0,0,7,4.9,0.7,0.0%
84,2007,Aaron Walker (FA),2,0,13,6.5,8,0,0,0,0,0,0,2,1.3,0.7,0.0%
75,2006,Aaron Walker (FA),5,0,68,13.6,26,0,0,0,0,0,0,5,6.8,1.4,0.0%
63,2004,Aaron Walker (FA),10,15,115,11.5,30,0,0,0,0,0,0,16,11.5,0.7,0.0%
52,2003,Aaron Walker (FA),8,13,116,14.5,26,0,1,0,0,0,0,12,17.6,1.5,0.0%
54,2006,Adam Bergen (FA),15,0,111,7.4,17,0,1,0,0,0,0,7,17.1,2.4,0.0%
33,2005,Adam Bergen (FA),28,0,270,9.6,32,0,1,0,0,0,0,14,33.0,2.4,0.0%
72,2021,Adam Shaheen (MIA),12,16,110,9.2,21,1,0,0,0,0,0,9,11.0,1.2,0.0%
46,2020,Adam Shaheen (MIA),12,22,150,12.5,43,4,3,0,0,0,0,16,33.0,2.1,0.0%
85,2019,Adam Shaheen (MIA),9,13,74,8.2,18,0,0,0,0,0,1,8,7.4,0.9,0.0%
73,2018,Adam Shaheen (MIA),5,6,48,9.6,23,1,1,0,0,0,0,6,12.8,2.1,0.0%
44,2017,Adam Shaheen (MIA),12,14,127,10.6,31,2,3,0,0,0,0,13,30.7,2.4,0.0%
42,2021,Adam Trautman (NO),27,43,263,9.7,32,3,2,0,0,0,1,11,36.3,3.3,0.8%
59,2020,Adam Trautman (NO),15,16,171,11.4,41,4,1,0,0,0,0,15,23.1,1.5,0.8%
91,2011,Adrian Arrington (FA),2,3,31,15.5,17,0,0,0,0,0,0,2,3.1,1.6,0.0%
74,2010,Adrian Arrington (FA),7,9,79,11.3,17,0,0,0,0,0,0,1,7.9,7.9,0.0%
72,2014,Adrien Robinson (FA),5,7,50,10.0,29,1,1,0,0,0,0,16,11.0,0.7,0.0%
128,2013,Adrien Robinson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
120,2012,Adrien Robinson (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
144,2019,Alan Cross (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
113,2018,Alan Cross (FA),2,5,9,4.5,6,0,0,0,0,0,0,14,0.9,0.1,0.0%
88,2017,Alan Cross (FA),5,6,58,11.6,23,1,0,0,0,0,0,8,5.8,0.7,0.0%
77,2016,Alan Cross (FA),6,10,38,6.3,10,0,1,0,0,0,0,14,9.8,0.7,0.0%
29,2021,Albert Okwuegbunam (DEN),33,40,330,10.0,64,6,2,0,0,0,1,14,43.0,3.1,40.0%
62,2020,Albert Okwuegbunam (DEN),11,15,121,11.0,27,1,1,0,0,0,0,4,18.1,4.5,40.0%
121,2014,Alex Bayer (FA),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
141,2019,Alex Ellis (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
129,2018,Alex Ellis (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
106,2016,Alex Ellis (FA),3,4,11,3.7,6,0,0,0,0,0,0,6,1.1,0.2,0.0%
101,2005,Alex Holmes (FA),1,0,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,0.0%
114,2011,Alex Silvestro (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
110,2015,Alex Smith (FA),0,2,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
107,2014,Alex Smith (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
80,2013,Alex Smith (FA),3,6,12,4.0,7,0,1,0,0,0,0,16,7.2,0.5,0.0%
84,2012,Alex Smith (FA),13,18,47,3.6,17,0,0,0,0,0,0,12,4.7,0.4,0.0%
49,2011,Alex Smith (FA),14,25,131,9.4,20,0,1,0,0,0,0,14,19.1,1.4,0.0%
103,2010,Alex Smith (FA),1,1,6,6.0,6,0,0,0,0,0,0,3,0.6,0.2,0.0%
86,2009,Alex Smith (FA),3,8,25,8.3,11,0,0,0,0,0,0,16,2.5,0.2,0.0%
27,2008,Alex Smith (FA),21,9,250,11.9,34,0,3,0,0,0,0,14,45.0,3.2,0.0%
13,2007,Alex Smith (FA),32,5,385,12.0,33,0,3,0,0,0,0,14,56.5,4.0,0.0%
26,2006,Alex Smith (FA),35,0,250,7.1,27,0,3,0,0,0,0,14,43.0,3.1,0.0%
23,2005,Alex Smith (FA),41,12,367,9.0,24,0,2,0,0,0,0,16,48.7,3.0,0.0%
56,2010,Alge Crumpler (FA),6,10,52,8.7,27,0,2,0,0,0,0,13,17.2,1.3,0.0%
43,2009,Alge Crumpler (FA),27,37,222,8.2,27,0,1,0,0,0,1,14,26.2,1.9,0.0%
35,2008,Alge Crumpler (FA),19,4,211,11.1,28,0,1,0,0,0,0,10,27.1,2.7,0.0%
27,2007,Alge Crumpler (FA),19,5,203,10.7,35,0,1,0,0,0,0,6,26.3,4.4,0.0%
2,2006,Alge Crumpler (FA),56,0,780,13.9,46,0,8,0,0,0,0,16,126.0,7.9,0.0%
5,2005,Alge Crumpler (FA),65,6,877,13.5,48,0,5,0,0,0,0,16,119.7,7.5,0.0%
5,2004,Alge Crumpler (FA),48,74,774,16.1,49,0,6,0,0,0,1,14,111.4,8.0,0.0%
8,2003,Alge Crumpler (FA),44,80,552,12.5,63,0,3,0,0,0,1,16,71.2,4.5,0.0%
9,2002,Alge Crumpler (FA),36,58,455,12.6,33,0,5,0,0,0,0,16,75.5,4.7,0.0%
90,2013,Allen Reisner (FA),5,9,40,8.0,16,0,0,0,0,0,0,5,4.0,0.8,0.0%
95,2012,Allen Reisner (FA),1,1,13,13.0,13,0,0,0,0,0,0,4,1.3,0.3,0.0%
107,2011,Allen Reisner (FA),1,1,5,5.0,5,0,0,0,0,0,0,6,0.5,0.1,0.0%
114,2013,Andre Smith (FA),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
121,2021,Andrew Beck (DEN),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
119,2020,Andrew Beck (DEN),0,0,0,0.0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
66,2019,Andrew Beck (DEN),9,12,90,10.0,29,1,1,1,3,0,0,16,15.5,1.0,0.0%
222,2021,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
152,2020,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
149,2019,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
145,2018,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
143,2017,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
142,2016,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
143,2015,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
141,2014,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
186,2021,Andrew Ogletree (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
93,2015,Andrew Quarless (FA),4,5,31,7.8,13,0,0,0,0,0,0,5,3.1,0.6,0.0%
26,2014,Andrew Quarless (FA),29,46,323,11.1,34,3,3,0,0,0,0,16,50.3,3.1,0.0%
39,2013,Andrew Quarless (FA),32,53,312,9.8,22,3,2,0,0,0,0,16,43.2,2.7,0.0%
86,2011,Andrew Quarless (FA),3,4,36,12.0,21,0,0,0,0,0,0,10,3.6,0.4,0.0%
43,2010,Andrew Quarless (FA),21,33,238,11.3,23,0,1,0,0,0,1,13,27.8,2.1,0.0%
93,2011,Anthony Becht (FA),3,4,26,8.7,16,0,0,0,0,0,0,4,2.6,0.7,0.0%
64,2009,Anthony Becht (FA),7,12,61,8.7,16,0,1,0,0,0,1,11,10.1,0.9,0.0%
75,2008,Anthony Becht (FA),6,0,39,6.5,11,0,0,0,0,0,0,7,3.9,0.6,0.0%
105,2007,Anthony Becht (FA),0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
53,2006,Anthony Becht (FA),18,0,115,6.4,13,0,1,0,0,0,0,11,17.5,1.6,0.0%
58,2005,Anthony Becht (FA),16,2,112,7.0,17,0,0,0,0,0,0,12,11.2,0.9,0.0%
56,2004,Anthony Becht (FA),13,28,100,7.7,19,0,1,0,0,0,0,15,16.0,1.1,0.0%
13,2003,Anthony Becht (FA),40,58,356,8.9,29,0,4,0,0,0,0,16,61.6,3.9,0.0%
17,2002,Anthony Becht (FA),28,44,243,8.7,21,0,5,0,0,0,0,15,56.3,3.8,0.0%
