Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
83,2012,Adrian Wilson (FA),39,15,3,5,1,1,0,0,15,111.0,7.4,0.0%
46,2011,Adrian Wilson (FA),48,17,0,14,1,1,0,0,16,135.1,8.4,0.0%
27,2010,Adrian Wilson (FA),76,12,2,9,2,0,0,0,16,169.8,10.6,0.0%
5,2009,Adrian Wilson (FA),62,13,2,13,5,1,2,0,16,195.0,12.2,0.0%
24,2008,Adrian Wilson (FA),59,14,2.5,5,2,2,0,0,15,152.4,10.2,0.0%
78,2007,Adrian Wilson (FA),33,11,0,2,2,0,0,0,9,70.9,7.9,0.0%
3,2006,Adrian Wilson (FA),76,8,5,10,4,4,2,2,16,211.2,13.2,0.0%
1,2005,Adrian Wilson (FA),92,16,8,9,1,1,2,0,16,212.8,13.3,0.0%
5,2004,Adrian Wilson (FA),77,22,1,11,3,1,2,1,16,210.9,13.2,0.0%
59,2003,Adrian Wilson (FA),70,9,0,8,0,2,0,0,16,134.6,8.4,0.0%
23,2002,Adrian Wilson (FA),66,27,1.5,5,4,1,0,0,14,164.7,11.8,0.0%
