Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
209,2011,Al Harris (FA),12,3,0,6,0,0,1,0,7,33.3,4.8,0.0%
271,2010,Al Harris (FA),3,0,0,0,0,0,0,0,3,4.5,1.5,0.0%
135,2009,Al Harris (FA),29,5,1,5,2,0,1,0,10,77.9,7.8,0.0%
176,2008,Al Harris (FA),18,0,0,4,0,0,0,0,8,33.0,4.1,0.0%
146,2007,Al Harris (FA),18,1,0,4,0,0,0,0,8,33.8,4.2,0.0%
98,2006,Al Harris (FA),35,5,0,17,3,0,0,0,15,96.9,6.5,0.0%
51,2005,Al Harris (FA),46,7,3,13,3,1,0,1,16,131.0,8.2,0.0%
70,2004,Al Harris (FA),56,6,0,20,1,0,0,0,16,123.7,7.7,0.0%
82,2003,Al Harris (FA),46,2,0,14,3,1,0,1,16,119.1,7.4,0.0%
140,2002,Al Harris (FA),22,2,0,17,1,0,0,0,14,65.1,4.7,0.0%
