Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
183,2015,Antrel Rolle (FA),30,5,0,1,0,0,0,0,7,50.3,7.2,0.0%
19,2014,Antrel Rolle (FA),71,16,0,9,3,1,1,0,16,158.0,9.9,0.0%
2,2013,Antrel Rolle (FA),77,18,2,12,6,1,1,0,16,203.5,12.7,0.0%
28,2012,Antrel Rolle (FA),71,21,0,5,2,1,1,0,16,158.0,9.9,0.0%
23,2011,Antrel Rolle (FA),82,14,0,4,2,1,0,0,16,158.9,9.9,0.0%
32,2010,Antrel Rolle (FA),76,11,0.5,4,1,1,2,0,16,165.2,10.3,0.0%
31,2009,Antrel Rolle (FA),60,11,1.5,8,4,1,0,0,15,154.0,10.3,0.0%
28,2008,Antrel Rolle (FA),78,11,0,5,1,0,0,1,16,146.5,9.2,0.0%
15,2007,Antrel Rolle (FA),47,10,0,10,5,0,0,3,16,136.3,8.5,0.0%
25,2006,Antrel Rolle (FA),79,7,0,11,1,2,0,0,16,153.5,9.6,0.0%
150,2005,Antrel Rolle (FA),26,2,0,2,1,0,0,0,5,48.6,9.7,0.0%
