Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
259,2019,Aqib Talib (FA),7,7,0,2,0,0,0,0,5,18.9,3.8,0.0%
186,2018,Aqib Talib (FA),18,5,0,5,1,1,1,0,8,51.3,6.4,0.0%
161,2017,Aqib Talib (FA),23,8,0,7,1,1,0,1,15,66.1,4.4,0.0%
101,2016,Aqib Talib (FA),32,11,0,12,3,0,0,1,13,98.0,7.5,0.0%
78,2015,Aqib Talib (FA),39,6,0,13,3,0,0,2,15,112.2,7.5,0.0%
15,2014,Aqib Talib (FA),55,9,1,16,4,1,0,2,15,161.1,10.7,0.0%
102,2013,Aqib Talib (FA),35,6,0,14,4,1,0,0,13,104.7,8.1,0.0%
105,2012,Aqib Talib (FA),33,7,0,10,2,0,1,1,10,92.4,9.2,0.0%
105,2011,Aqib Talib (FA),31,3,0,11,2,1,0,2,13,96.3,7.4,0.0%
84,2010,Aqib Talib (FA),39,1,0,11,6,0,0,1,11,114.3,10.4,0.0%
39,2009,Aqib Talib (FA),56,8,0,15,5,0,1,0,15,146.8,9.8,0.0%
137,2008,Aqib Talib (FA),14,6,0,9,4,0,0,0,15,59.2,3.9,0.0%
