Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
379,2019,Barry Church (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,2.0%
153,2018,Barry Church (FA),32,6,1,2,1,0,0,0,11,72.2,6.6,2.0%
22,2017,Barry Church (FA),56,16,1.5,8,4,0,0,1,16,145.5,9.1,2.0%
37,2016,Barry Church (FA),61,24,0,4,2,1,0,0,12,134.9,11.2,2.0%
25,2015,Barry Church (FA),75,38,0,0,0,1,0,0,15,150.2,10.0,2.0%
23,2014,Barry Church (FA),73,20,0,6,2,1,1,0,16,156.9,9.8,2.0%
1,2013,Barry Church (FA),105,28,0,6,1,3,1,1,16,222.6,13.9,2.0%
260,2012,Barry Church (FA),3,2,0,0,0,0,1,0,3,10.1,3.4,2.0%
211,2011,Barry Church (FA),16,4,0,0,0,0,0,0,13,32.2,2.5,2.0%
225,2010,Barry Church (FA),10,3,0,0,0,1,0,0,15,21.4,1.4,2.0%
