Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
360,2020,Brandon Carr (FA),1,0,0,0,0,0,0,0,3,1.5,0.5,0.0%
104,2019,Brandon Carr (FA),41,8,2,6,0,0,0,0,16,94.8,5.9,0.0%
116,2018,Brandon Carr (FA),39,6,0,11,2,0,0,0,16,89.8,5.6,0.0%
63,2017,Brandon Carr (FA),50,6,0,12,4,0,0,0,16,122.8,7.7,0.0%
87,2016,Brandon Carr (FA),53,8,0,9,1,0,0,0,16,106.7,6.7,0.0%
63,2015,Brandon Carr (FA),60,16,0,6,0,0,1,0,16,117.7,7.4,0.0%
107,2014,Brandon Carr (FA),45,9,1,7,0,0,0,0,16,94.0,5.9,0.0%
30,2013,Brandon Carr (FA),60,11,0,12,3,0,1,1,16,146.4,9.2,0.0%
79,2012,Brandon Carr (FA),48,5,0,10,3,0,0,1,16,111.8,7.0,0.0%
85,2011,Brandon Carr (FA),39,6,0,15,4,0,0,0,16,105.8,6.6,0.0%
64,2010,Brandon Carr (FA),46,11,0,25,1,0,1,0,16,124.0,7.8,0.0%
58,2009,Brandon Carr (FA),56,5,0,19,1,1,1,0,16,134.5,8.4,0.0%
32,2008,Brandon Carr (FA),70,3,0,6,2,0,2,0,16,141.9,8.9,0.0%
