Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
124,2021,Casey Hayward Jr. (ATL),39,7,0,9,1,0,0,0,17,90.0,5.3,0.3%
147,2020,Casey Hayward Jr. (ATL),36,5,0,8,1,0,0,0,14,75.0,5.4,0.3%
163,2019,Casey Hayward Jr. (ATL),28,4,0,8,2,0,0,0,16,67.1,4.2,0.3%
136,2018,Casey Hayward Jr. (ATL),41,5,0,8,0,0,0,0,16,79.9,5.0,0.3%
60,2017,Casey Hayward Jr. (ATL),33,7,0,22,4,1,2,0,16,125.0,7.8,0.3%
12,2016,Casey Hayward Jr. (ATL),50,7,0,20,7,0,0,1,16,153.9,9.6,0.3%
93,2015,Casey Hayward Jr. (ATL),55,8,0,7,0,0,0,0,16,106.8,6.7,0.3%
102,2014,Casey Hayward Jr. (ATL),28,8,0,7,3,0,2,2,16,98.7,6.2,0.3%
261,2013,Casey Hayward Jr. (ATL),5,3,0,0,0,0,0,0,3,9.8,3.3,0.3%
58,2012,Casey Hayward Jr. (ATL),35,13,0,20,6,1,0,0,16,129.1,8.1,0.3%
