Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
214,2013,Champ Bailey (FA),12,2,0,3,0,0,0,0,5,24.1,4.8,0.0%
62,2012,Champ Bailey (FA),61,5,0,8,2,0,0,0,16,125.0,7.8,0.0%
120,2011,Champ Bailey (FA),35,4,0,10,2,1,0,0,13,87.2,6.7,0.0%
97,2010,Champ Bailey (FA),41,4,1,13,2,0,0,0,15,105.7,7.0,0.0%
32,2009,Champ Bailey (FA),62,10,0,15,3,1,0,0,16,149.5,9.3,0.0%
100,2008,Champ Bailey (FA),36,5,1,3,1,2,0,0,9,86.8,9.6,0.0%
13,2007,Champ Bailey (FA),66,13,0,14,3,0,0,0,15,145.0,9.7,0.0%
2,2006,Champ Bailey (FA),74,12,0,21,10,0,1,1,16,211.7,13.2,0.0%
6,2005,Champ Bailey (FA),60,6,0,23,8,1,0,2,14,187.7,13.4,0.0%
26,2004,Champ Bailey (FA),68,13,0,12,3,0,0,0,16,162.5,10.2,0.0%
38,2003,Champ Bailey (FA),67,4,0,9,2,1,2,0,16,151.6,9.5,0.0%
33,2002,Champ Bailey (FA),62,6,0,24,3,0,0,0,16,153.8,9.6,0.0%
