Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
18,2015,Charles Woodson (FA),59,15,0,9,5,1,3,0,16,157.2,9.8,0.0%
2,2014,Charles Woodson (FA),83,30,1,8,4,0,1,0,16,197.4,12.3,0.0%
6,2013,Charles Woodson (FA),75,22,2,3,1,3,2,1,16,185.3,11.6,0.0%
133,2012,Charles Woodson (FA),25,13,1.5,5,1,1,0,0,7,72.4,10.3,0.0%
3,2011,Charles Woodson (FA),63,12,2,17,7,1,1,1,15,196.4,13.1,0.0%
3,2010,Charles Woodson (FA),76,16,2,13,2,5,0,1,16,207.4,13.0,0.0%
1,2009,Charles Woodson (FA),66,8,2,18,9,4,1,3,16,245.7,15.4,0.0%
5,2008,Charles Woodson (FA),51,12,3,17,7,1,1,2,16,188.3,11.8,0.0%
16,2007,Charles Woodson (FA),52,11,0,9,4,0,1,2,14,136.2,9.7,0.0%
10,2006,Charles Woodson (FA),51,11,1,20,8,3,1,1,16,181.1,11.3,0.0%
138,2005,Charles Woodson (FA),27,4,0,4,1,1,0,0,6,58.6,9.8,0.0%
46,2004,Charles Woodson (FA),59,15,2.5,9,1,2,1,0,12,143.0,11.9,0.0%
46,2003,Charles Woodson (FA),56,14,1,8,3,1,1,0,15,146.4,9.8,0.0%
121,2002,Charles Woodson (FA),35,2,0,4,1,4,1,0,7,85.1,12.2,0.0%
