Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
171,2021,Chris Harris Jr. (FA),30,7,0,6,1,0,0,0,14,64.3,4.6,0.0%
179,2020,Chris Harris Jr. (FA),25,12,0.5,2,1,0,0,0,9,59.2,6.6,0.0%
101,2019,Chris Harris Jr. (FA),44,12,0,6,1,1,0,0,16,95.8,6.0,0.0%
86,2018,Chris Harris Jr. (FA),40,9,1,10,3,0,0,1,12,109.4,9.1,0.0%
134,2017,Chris Harris Jr. (FA),32,8,0,7,2,1,0,0,16,81.2,5.1,0.0%
48,2016,Chris Harris Jr. (FA),57,6,0,11,2,1,1,0,16,127.3,8.0,0.0%
55,2015,Chris Harris Jr. (FA),49,9,0,6,2,2,0,1,16,123.4,7.7,0.0%
31,2014,Chris Harris Jr. (FA),51,4,1,17,3,1,1,0,16,144.7,9.0,0.0%
36,2013,Chris Harris Jr. (FA),58,7,0,14,3,0,0,0,16,141.0,8.8,0.0%
41,2012,Chris Harris Jr. (FA),51,10,2.5,9,3,0,0,2,15,144.8,9.7,0.0%
81,2011,Chris Harris Jr. (FA),56,9,0,6,1,0,0,0,16,107.4,6.7,0.0%
