Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
280,2019,Darian Stewart (FA),6,3,0,1,0,0,0,0,13,12.8,1.0,0.0%
97,2018,Darian Stewart (FA),46,14,1,3,2,0,1,0,14,102.3,7.3,0.0%
79,2017,Darian Stewart (FA),52,11,0,5,3,0,0,0,16,116.5,7.3,0.0%
44,2016,Darian Stewart (FA),55,13,0,6,3,1,1,0,16,129.5,8.1,0.0%
66,2015,Darian Stewart (FA),46,13,0,10,1,1,2,0,15,116.1,7.7,0.0%
127,2014,Darian Stewart (FA),37,16,0,3,1,1,0,0,16,83.9,5.2,0.0%
166,2013,Darian Stewart (FA),28,6,0,5,0,1,1,0,13,62.2,4.8,0.0%
266,2012,Darian Stewart (FA),6,0,0,0,0,0,0,0,12,9.0,0.8,0.0%
14,2011,Darian Stewart (FA),60,16,3,11,1,2,0,1,15,172.1,11.5,0.0%
188,2010,Darian Stewart (FA),13,0,1,2,0,0,1,0,13,35.5,2.7,0.0%
