Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
93,2011,Deon Grant (FA),42,17,1,6,1,0,1,0,16,103.1,6.4,0.0%
49,2010,Deon Grant (FA),47,12,1,10,3,2,3,0,16,146.3,9.1,0.0%
47,2009,Deon Grant (FA),58,17,0,8,3,1,1,0,16,140.0,8.8,0.0%
78,2008,Deon Grant (FA),49,13,0,5,1,0,0,0,13,101.1,7.8,0.0%
76,2007,Deon Grant (FA),32,7,0,3,2,0,1,0,8,71.9,9.0,0.0%
79,2006,Deon Grant (FA),53,7,0,8,2,0,1,0,16,110.9,6.9,0.0%
53,2005,Deon Grant (FA),55,11,1.5,11,3,0,0,0,15,128.5,8.6,0.0%
77,2004,Deon Grant (FA),50,15,1,8,2,0,1,0,16,119.0,7.4,0.0%
29,2003,Deon Grant (FA),65,12,1,12,3,0,1,0,16,160.4,10.0,0.0%
49,2002,Deon Grant (FA),54,14,0,16,3,1,1,0,16,138.9,8.7,0.0%
