Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
297,2019,Dominique Rodgers-Cromartie (FA),5,2,0,0,0,0,0,0,2,9.0,4.5,0.0%
270,2018,Dominique Rodgers-Cromartie (FA),6,0,0,2,0,1,0,0,7,16.0,2.3,0.0%
147,2017,Dominique Rodgers-Cromartie (FA),31,17,0.5,1,0,0,0,0,15,72.9,4.9,0.0%
23,2016,Dominique Rodgers-Cromartie (FA),41,8,1,21,6,1,0,0,15,142.1,9.5,0.0%
30,2015,Dominique Rodgers-Cromartie (FA),52,6,0,13,3,2,1,2,15,146.2,9.7,0.0%
121,2014,Dominique Rodgers-Cromartie (FA),36,2,0,12,2,0,0,0,16,86.1,5.4,0.0%
127,2013,Dominique Rodgers-Cromartie (FA),25,6,0,14,3,0,0,1,15,91.6,6.1,0.0%
85,2012,Dominique Rodgers-Cromartie (FA),43,8,0,16,3,0,0,0,16,109.8,6.9,0.0%
160,2011,Dominique Rodgers-Cromartie (FA),25,2,1,6,0,0,0,0,13,57.1,4.4,0.0%
79,2010,Dominique Rodgers-Cromartie (FA),42,2,0,17,3,0,0,2,16,117.1,7.3,0.0%
24,2009,Dominique Rodgers-Cromartie (FA),48,2,0,25,6,3,0,1,16,161.5,10.1,0.0%
62,2008,Dominique Rodgers-Cromartie (FA),36,3,0,19,4,0,0,1,16,113.4,7.1,0.0%
