Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
119,2016,Donte Whitner (FA),49,17,0,0,0,1,0,0,11,90.4,8.2,1.0%
39,2015,Donte Whitner (FA),58,23,1.5,4,0,1,0,0,14,130.4,9.3,1.0%
21,2014,Donte Whitner (FA),69,37,0,4,1,2,0,0,16,158.0,9.9,1.0%
31,2013,Donte Whitner (FA),58,15,0,12,2,2,1,0,16,145.9,9.1,1.0%
49,2012,Donte Whitner (FA),61,21,0,4,1,2,1,1,16,139.1,8.7,1.0%
54,2011,Donte Whitner (FA),49,13,0,10,2,1,3,0,15,129.6,8.6,1.0%
6,2010,Donte Whitner (FA),95,43,0.5,7,1,1,1,0,16,203.1,12.7,1.0%
100,2009,Donte Whitner (FA),42,15,0,5,2,0,0,1,10,103.0,10.3,1.0%
84,2008,Donte Whitner (FA),50,11,1,1,0,1,0,0,13,98.1,7.5,1.0%
24,2007,Donte Whitner (FA),68,21,0,1,1,1,0,0,15,128.4,8.6,1.0%
34,2006,Donte Whitner (FA),68,38,0,5,1,0,0,0,15,143.4,9.6,1.0%
