Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
148,2013,Ed Reed (FA),27,11,0,4,3,0,0,0,14,74.9,5.4,0.0%
46,2012,Ed Reed (FA),49,9,0,15,4,0,3,1,16,143.5,9.0,0.0%
78,2011,Ed Reed (FA),44,8,1,8,3,1,0,0,16,109.7,6.9,0.0%
76,2010,Ed Reed (FA),30,7,0,16,8,1,0,0,10,118.4,11.8,0.0%
77,2009,Ed Reed (FA),42,8,0,5,3,3,1,1,12,118.8,9.9,0.0%
17,2008,Ed Reed (FA),34,7,1,16,9,1,2,3,16,161.9,10.1,0.0%
35,2007,Ed Reed (FA),29,10,0,13,7,0,1,0,16,112.3,7.0,0.0%
43,2006,Ed Reed (FA),52,8,0,9,5,1,1,1,15,136.7,9.1,0.0%
128,2005,Ed Reed (FA),33,4,0,9,1,0,0,0,10,71.1,7.1,0.0%
1,2004,Ed Reed (FA),64,14,2,17,9,3,2,2,16,232.3,14.5,0.0%
5,2003,Ed Reed (FA),58,12,1,15,7,1,0,1,16,199.7,12.5,0.0%
14,2002,Ed Reed (FA),67,13,1,12,5,0,0,0,16,175.9,11.0,0.0%
